evid,latitude,longitude,depth,time,mag
86,35.6702,-117.4732,4.73,2000-12-13T16:26:01.020000,1.0
87,35.7145,-117.5294,3.71,2000-12-13T16:27:00.990000,1.0
88,35.9009,-117.6764,5.87,2000-12-13T16:28:01.140000,1.0
89,35.8830,-117.6990,6.36,2000-12-13T16:29:01.240000,1.0
90,35.6299,-117.4297,4.24,2000-12-13T16:30:01.120000,1.0
91,35.9020,-117.6776,5.38,2000-12-13T16:31:01.110000,1.0
92,35.6749,-117.4861,1.81,2000-12-13T16:32:00.990000,1.0
93,35.9490,-117.6789,5.08,2000-12-13T16:33:01.050000,1.0
94,35.6524,-117.4498,2.43,2000-12-13T16:34:01.040000,1.0
95,35.9009,-117.6942,8.05,2000-12-13T16:35:01.160000,1.0
96,35.7180,-117.4768,3.67,2000-12-13T16:36:00.940000,1.0
97,35.6732,-117.4688,2.57,2000-12-13T16:37:01.050000,1.0
98,35.8880,-117.6803,8.13,2000-12-13T16:38:01.120000,1.0
99,35.9416,-117.6971,6.59,2000-12-13T16:39:01.110000,1.0
100,35.6485,-117.4438,3.59,2000-12-13T16:40:01.150000,1.0
101,36.0146,-117.8379,4.77,2000-12-13T16:41:01.200000,1.0
102,35.7762,-117.5566,8.63,2000-12-13T16:42:01.230000,1.0
103,35.8961,-117.7025,6.64,2000-12-13T16:43:01.170000,1.0
104,35.9619,-117.6716,3.03,2000-12-13T16:44:01.440000,1.0
105,35.6804,-117.5426,6.53,2000-12-13T16:45:01.170000,1.0
106,35.8972,-117.6710,7.35,2000-12-13T16:46:01.150000,1.0
107,35.9205,-117.7213,5.58,2000-12-13T16:47:01.160000,1.0
108,35.6437,-117.4677,5.20,2000-12-13T16:48:01.150000,1.0
109,35.7305,-117.5130,4.20,2000-12-13T16:49:00.950000,1.0
110,35.5934,-117.4164,5.90,2000-12-13T16:50:01.190000,1.0
111,35.9302,-117.7004,5.74,2000-12-13T16:51:01.120000,1.0
112,35.6980,-117.5861,6.61,2000-12-13T16:52:01.160000,1.0
113,35.7189,-117.5267,5.89,2000-12-13T16:53:01.090000,1.0
114,35.9182,-117.6782,6.09,2000-12-13T16:54:01.100000,1.0
115,35.6096,-117.4259,4.30,2000-12-13T16:55:01.310000,1.0
116,35.8885,-117.6786,8.20,2000-12-13T16:56:01.170000,1.0
117,35.8238,-117.6273,6.67,2000-12-13T16:57:01.300000,1.0
118,35.6865,-117.5099,6.45,2000-12-13T16:58:01.180000,1.0
119,35.5669,-117.6117,3.30,2000-12-13T16:59:01.040000,1.0
120,35.7103,-117.4879,5.15,2000-12-13T17:00:00.980000,1.0
121,35.7184,-117.5581,6.73,2000-12-13T17:01:01.220000,1.0
122,35.6739,-117.4796,4.26,2000-12-13T17:02:01.070000,1.0
123,35.7024,-117.5213,8.48,2000-12-13T17:03:01.250000,1.0
124,35.7195,-117.5386,5.82,2000-12-13T17:04:01.170000,1.0
125,35.8936,-117.6727,5.91,2000-12-13T17:05:01.120000,1.0
126,35.5999,-117.4279,3.24,2000-12-13T17:06:01.200000,1.0
127,35.8881,-117.6713,10.16,2000-12-13T17:07:01.160000,1.0
128,35.9233,-117.6634,3.62,2000-12-13T17:08:01.180000,1.0
129,35.7189,-117.5216,6.12,2000-12-13T17:09:01.080000,1.0
130,35.5615,-117.3143,5.77,2000-12-13T17:10:01.150000,1.0
131,35.7138,-117.4974,3.47,2000-12-13T17:11:00.970000,1.0
132,35.8927,-117.7210,9.93,2000-12-13T17:12:01.150000,1.0
133,35.6287,-117.4151,3.79,2000-12-13T17:13:01.060000,1.0
134,36.0545,-117.8473,3.74,2000-12-13T17:14:01.140000,1.0
135,35.6211,-117.4392,6.07,2000-12-13T17:15:01.190000,1.0
136,35.5673,-117.5861,5.29,2000-12-13T17:16:01.180000,1.0
137,35.5999,-117.4108,5.77,2000-12-13T17:17:01.060000,1.0
138,35.8297,-117.6440,5.84,2000-12-13T17:18:01.270000,1.0
139,35.6202,-117.4214,6.48,2000-12-13T17:19:01.170000,1.0
140,35.8829,-117.6828,11.08,2000-12-13T17:20:01.120000,1.0
141,35.7192,-117.5459,5.31,2000-12-13T17:21:01.080000,1.0
142,35.6523,-117.4649,2.34,2000-12-13T17:22:01.070000,1.0
143,35.6988,-117.5885,7.18,2000-12-13T17:23:01.210000,1.0
144,35.9090,-117.7017,9.17,2000-12-13T17:24:01.100000,1.0
145,35.7101,-117.5647,7.21,2000-12-13T17:25:01.190000,1.0
146,35.9205,-117.7262,5.83,2000-12-13T17:26:01.160000,1.0
147,35.6113,-117.4626,4.34,2000-12-13T17:27:01.130000,1.0
148,35.8964,-117.6946,7.94,2000-12-13T17:28:01.150000,1.0
149,35.6702,-117.4861,3.61,2000-12-13T17:29:01.050000,1.0
150,35.9043,-117.6702,5.87,2000-12-13T17:30:01.180000,1.0
151,35.8959,-117.6662,5.47,2000-12-13T17:31:01.100000,1.0
152,35.9439,-117.6833,5.16,2000-12-13T17:32:01.070000,1.0
153,35.8939,-117.6723,7.10,2000-12-13T17:33:01.110000,1.0
154,35.9293,-117.7007,5.52,2000-12-13T17:34:01.160000,1.0
155,35.9257,-117.7210,8.07,2000-12-13T17:35:01.120000,1.0
156,35.5777,-117.6196,3.46,2000-12-13T17:36:01.000000,1.0
157,35.6034,-117.4227,5.37,2000-12-13T17:37:01.240000,1.0
158,35.6365,-117.4249,3.72,2000-12-13T17:38:01.180000,1.0
159,35.8783,-117.7093,5.04,2000-12-13T17:39:01.190000,1.0
160,35.7473,-117.5168,3.64,2000-12-13T17:40:00.920000,1.0
161,35.6809,-117.5296,8.14,2000-12-13T17:41:01.250000,1.0
162,35.6739,-117.4851,3.24,2000-12-13T17:42:01.030000,1.0
163,35.9660,-117.7055,5.51,2000-12-13T17:43:01.090000,1.0
164,35.9033,-117.7454,8.43,2000-12-13T17:44:01.100000,1.0
165,35.9263,-117.6981,5.25,2000-12-13T17:45:01.330000,1.0
166,35.7537,-117.5523,6.92,2000-12-13T17:46:01.170000,1.0
167,36.0543,-117.8427,3.72,2000-12-13T17:47:01.160000,1.0
168,36.0628,-117.8481,13.69,2000-12-13T17:48:01.340000,1.0
169,35.7229,-117.5245,5.24,2000-12-13T17:49:01.080000,1.0
170,35.5750,-117.6145,4.04,2000-12-13T17:50:01.060000,1.0
171,35.6783,-117.4770,1.38,2000-12-13T17:51:01.070000,1.0
172,35.9134,-117.6978,5.51,2000-12-13T17:52:01.170000,1.0
173,35.6755,-117.4815,0.09,2000-12-13T17:53:01.090000,1.0
174,35.6692,-117.5189,6.91,2000-12-13T17:54:01.280000,1.0
175,35.7294,-117.5271,5.71,2000-12-13T17:55:01.060000,1.0
176,35.7552,-117.5680,5.86,2000-12-13T17:56:01.070000,1.0
177,35.9172,-117.6814,6.16,2000-12-13T17:57:01.110000,1.0
178,35.6633,-117.4861,3.67,2000-12-13T17:58:01.120000,1.0
179,35.9594,-117.6950,5.45,2000-12-13T17:59:01.150000,1.0
180,35.5938,-117.4220,5.70,2000-12-13T18:00:01.180000,1.0
181,35.9096,-117.7357,7.94,2000-12-13T18:01:01.240000,1.0
