velest,NonLinLoc,hypoinverse,hypoDD,growclust
1.131,4.247812,0.845,1.219,0.21
0.108,1.343344,0.391,1.51,1.726
1.502,1.349094,1.058,1.345,0.705
0.983,0.422438,0.119,0.832,0.272
0.276,0.765531,1.006,1.34,2.102
0.531,0.232031,0.22,0.053,1.663
1.156,0.393969,0.051,0.125,0.078
0.563,0.795312,1.06,1.379,1.691
0.535,0.479906,0.836,0.567,1.03
0.572,1.788656,1.006,0.092,1.491
0.123,0.881094,0.09,0.055,1.148
0.83,3.367375,1.058,1.559,0.027
0.463,0.026469,1.369,1.522,0.343
1.129,0.734875,1.322,1.433,0.465
1.608,1.899812,0.177,0.449,1.093
0.518,0.900812,0.043,0.35,0.307
0.422,0.812312,0.218,0.616,1.027
0.453,0.223531,0.799,0.276,0.8
0.921,1.218812,1.641,1.265,1.929
0.939,10.894562,0.687,0.004,1.182
0.813,0.384312,1.371,1.129,1.143
0.278,0.035438,0.238,0.086,1.4
1.708,1.294188,1.092,0.243,1.568
0.788,0.905109,1.043,0.441,1.248
0.127,0.488844,0.336,0.148,0.674
1.417,0.342562,0.501,0.955,1.323
0.619,1.627016,1.506,0.146,0.02
0.201,1.114094,0.353,1.279,0.142
0.13,0.360781,0.495,0.135,1.989
0.902,0.792156,0.522,1.247,0.364
1.489,0.917312,0.283,0.87,0.115
0.957,0.278828,1.02,0.452,1.675
1.07,0.138781,0.303,0.262,0.673
0.989,1.646656,1.099,1.481,0.633
0.282,0.205188,1.828,0.368,0.33
0.979,1.149875,0.088,1.381,0.09
1.055,0.103719,0.382,1.209,0.077
0.51,0.643312,0.233,1.005,0.479
0.355,0.930766,0.781,0.226,0.512
1.05,0.327406,1.064,0.47,0.701
0.055,0.854938,0.969,1.42,1.876
0.477,0.961438,0.773,0.488,0.613
0.358,0.214719,0.688,0.366,0.865
0.273,1.591594,1.568,0.091,1.466
1.63,1.327469,0.848,0.447,2.468
1.433,0.290344,0.013,0.05,0.735
0.853,1.101062,1.237,0.086,1.477
0.595,1.313031,0.279,0.327,0.343
1.003,1.348875,0.067,0.358,0.004
0.779,0.007516,0.011,0.104,0.509
0.127,0.813984,0.86,0.099,1.0
0.086,0.939812,0.862,1.411,1.943
0.684,1.959859,1.529,0.425,1.309
0.228,1.831375,0.897,1.063,0.185
0.236,0.969531,0.93,1.546,1.984
0.556,0.318062,0.869,0.377,0.791
1.346,8.372688,0.352,0.285,0.721
1.619,1.069156,0.969,1.329,0.306
1.764,1.343281,1.085,1.418,0.692
0.383,0.947812,0.64,0.079,0.472
0.347,0.865938,0.115,0.389,0.895
0.448,0.222969,0.79,1.182,0.823
0.746,0.311031,0.681,0.72,1.763
0.617,0.846719,1.285,1.451,2.022
1.003,0.399219,0.065,1.358,0.57
0.472,3.508375,0.381,0.4,0.121
0.832,0.492531,0.797,1.198,0.795
1.54,0.314719,0.158,0.007,0.411
0.525,1.112391,0.283,0.17,0.834
1.555,1.738438,1.71,1.678,2.018
1.374,0.590656,1.373,1.364,0.145
1.1,0.059094,0.563,1.618,1.328
0.766,0.336312,0.859,0.64,0.818
0.306,1.221188,1.326,0.7,0.85
0.423,1.509219,0.875,0.056,1.024
0.096,0.588156,0.823,0.488,0.503
0.242,2.678062,0.649,1.055,0.213
0.949,1.108375,0.859,0.49,0.904
1.171,0.166688,0.127,0.858,0.406
0.836,0.262562,0.316,0.093,0.24
0.535,0.947594,1.304,0.94,3.003
0.115,0.967656,1.43,1.367,1.861
0.782,0.915969,0.308,0.783,0.841
0.429,0.515328,0.746,0.044,1.056
0.864,0.752891,0.555,0.446,0.657
0.877,1.333188,0.356,0.296,0.208
0.052,2.841469,1.366,0.424,0.706
1.078,1.18775,2.169,1.855,2.315
0.42,1.554781,2.224,0.08,1.248
1.43,0.231438,0.703,0.258,0.861
1.137,0.007938,0.857,0.657,0.291
0.088,4.768938,0.288,0.004,0.803
0.338,0.280531,0.546,1.406,0.043
0.87,0.628719,0.517,1.456,0.131
0.408,0.863156,1.173,1.148,1.235
0.353,0.836062,0.202,0.379,0.892
0.823,0.627312,0.712,1.139,1.016
0.855,2.792812,1.2,0.114,1.576
0.305,0.952344,0.495,0.211,1.26
0.433,1.071406,1.235,0.222,1.547
0.182,3.578375,0.944,1.011,0.204
0.486,1.501719,1.07,0.738,1.718
1.594,0.433109,0.866,0.21,1.18
0.431,2.060062,0.536,0.173,2.678
0.831,0.377219,0.463,1.139,0.513
0.498,2.568688,0.874,0.278,0.513
0.744,0.734969,0.242,0.223,0.045
0.495,1.058031,0.759,0.368,0.922
0.551,0.961938,1.041,1.673,1.571
0.932,0.459438,0.776,1.439,0.434
0.571,0.856094,0.305,0.222,0.265
1.22,0.697969,0.045,0.988,0.315
0.903,0.959344,0.612,1.232,1.63
0.65,1.472594,0.919,0.016,1.63
1.109,0.674469,0.584,0.196,0.606
0.664,2.987375,1.127,0.567,0.845
0.921,1.049891,0.757,0.341,0.808
0.783,0.510047,0.332,0.052,0.078
0.513,1.113781,1.128,1.413,0.688
0.73,0.993906,0.48,0.114,0.47
1.182,1.821094,1.61,0.019,1.012
0.847,0.625203,1.167,0.427,1.31
0.704,0.761594,0.308,0.05,2.2
0.665,1.408328,0.308,0.071,0.811
0.7,0.789844,0.61,1.362,0.744
0.912,0.511906,0.168,0.401,0.977
0.123,0.688406,0.327,0.156,0.192
0.172,0.770188,1.243,1.279,0.149
0.155,1.018281,0.725,1.519,2.449
1.075,0.011719,0.075,0.084,1.74
1.0,0.827938,2.557,1.375,1.792
0.792,0.160594,1.083,0.038,0.464
0.708,6.541125,0.072,0.046,1.83
1.442,0.495531,0.486,0.04,0.097
0.784,0.834625,1.604,0.941,0.748
0.619,0.744281,0.331,0.283,0.329
0.832,0.472641,0.601,0.838,0.038
0.461,0.427531,0.348,1.138,0.309
0.724,0.372125,0.704,0.134,1.198
0.407,0.414844,0.315,0.242,0.273
0.089,8.251188,1.171,0.043,0.914
0.836,2.037312,0.722,1.15,1.274
0.554,1.678969,0.361,0.815,0.007
0.82,2.027969,0.85,1.198,1.317
1.101,0.009969,1.283,0.052,1.262
0.703,0.852031,0.86,1.221,0.785
0.638,0.291812,0.679,0.022,1.163
0.163,0.047719,0.714,0.108,0.823
0.747,0.631656,0.501,0.028,1.438
0.628,0.700734,0.673,0.04,0.811
0.221,0.389031,0.067,0.142,0.256
0.317,1.461406,0.9,0.403,1.065
1.065,1.799031,1.032,0.584,0.424
0.618,0.907312,0.787,1.479,2.029
0.982,0.693219,0.814,0.041,0.751
0.534,0.920469,0.795,1.062,1.284
0.016,0.987109,0.64,1.099,1.389
1.035,0.655906,1.012,0.466,1.313
0.826,2.269188,1.113,0.063,0.342
0.303,1.219812,0.577,0.518,0.636
0.926,0.461594,0.153,0.603,1.175
1.144,7.07575,0.052,0.309,3.041
0.427,0.485547,0.785,0.091,0.082
1.592,0.704766,1.275,0.245,0.887
0.954,1.011719,1.11,0.058,0.874
0.054,0.599531,1.025,0.578,0.447
0.239,0.051688,0.872,1.301,0.323
0.832,1.328312,0.468,1.217,0.31
0.775,0.719031,0.972,1.034,0.291
0.805,0.634469,0.674,1.249,0.077
1.761,0.423141,0.744,0.592,1.245
1.784,0.634078,0.269,0.054,0.34
1.237,0.116062,1.522,0.271,1.281
0.646,2.809469,0.749,1.212,1.809
0.636,0.911781,0.401,0.356,0.085
0.888,0.682359,0.704,0.321,1.039
0.388,0.617531,0.027,0.228,0.536
0.36,0.106188,0.131,0.737,0.817
1.546,2.851469,0.154,0.882,0.127
0.867,0.722984,0.424,0.146,0.666
0.715,0.342812,0.81,1.317,1.717
0.231,1.226469,1.301,1.49,2.088
0.342,1.293562,1.153,0.404,1.666
0.131,0.326688,0.468,1.233,0.65
0.263,1.196688,0.007,0.338,0.145
1.452,0.910188,0.537,0.42,0.009
0.314,1.413625,0.698,0.879,0.111
0.663,0.977406,0.261,0.245,0.984
0.582,1.607312,0.417,0.057,0.005
1.072,0.959844,0.985,1.331,1.494
0.743,1.046906,0.658,1.07,0.027
0.048,2.189969,0.822,0.756,1.025
1.289,0.965719,0.984,0.262,0.164
1.148,0.864547,0.204,0.136,0.017
0.443,1.469219,0.855,1.281,1.644
0.672,0.933781,0.853,0.515,0.741
0.267,0.687281,0.646,1.71,1.255
0.486,0.221562,0.47,0.68,2.168
1.146,0.516516,0.423,0.221,1.195
1.494,2.012094,0.896,1.636,1.083
0.4,0.856031,1.044,1.741,1.961
1.515,0.976359,0.287,0.093,0.187
1.035,1.491844,1.562,1.435,1.587
0.335,2.007594,1.044,1.435,0.105
0.878,0.031312,0.264,0.123,0.086
0.191,4.535688,0.119,0.047,0.424
1.225,0.303625,0.752,0.643,1.013
1.031,0.827344,0.485,1.286,0.26
1.043,0.887344,0.745,0.27,0.55
1.064,0.531031,1.811,1.525,0.981
1.383,1.565625,0.76,0.459,0.445
1.348,1.384188,0.442,0.623,2.265
0.924,1.421031,1.139,1.43,2.075
0.767,2.054781,1.814,0.079,0.876
0.205,1.434969,0.977,0.414,0.219
1.705,0.216469,0.536,1.028,1.523
0.346,0.047922,0.912,0.992,1.036
0.778,0.548344,0.616,1.206,0.301
0.778,1.058938,0.808,1.414,0.804
1.101,0.000828,0.102,0.083,0.276
0.159,0.295859,0.23,0.225,0.655
0.13,0.761469,1.106,0.705,3.036
0.926,0.396062,0.687,1.388,0.547
0.6,0.289609,0.595,0.387,1.661
0.002,0.175609,0.371,0.221,0.174
0.592,0.132781,0.282,0.863,0.333
0.495,0.322406,0.189,0.041,0.89
0.673,0.757938,0.008,0.043,2.104
1.039,0.877453,0.473,0.005,0.809
1.238,1.472625,1.472,1.538,0.86
0.616,0.477406,2.201,1.434,2.187
0.267,0.984312,0.624,0.975,1.775
1.589,2.978469,0.783,0.164,0.85
0.69,1.149656,0.762,1.215,1.863
0.442,0.303562,1.092,1.436,0.194
0.388,0.951828,0.483,1.635,1.64
0.318,0.451844,0.142,1.925,1.201
1.3,4.562875,1.699,1.274,1.493
0.209,0.835734,1.018,1.179,0.526
0.505,0.846594,0.743,0.128,1.599
0.885,0.959969,0.272,1.325,1.66
0.41,0.653172,0.357,0.194,0.653
1.713,0.682641,0.536,0.33,0.742
0.671,3.075375,1.016,1.585,1.661
1.375,1.100562,1.254,1.601,2.377
0.801,0.219844,0.09,0.04,1.119
1.272,0.987812,1.165,0.032,1.447
0.587,1.553125,0.985,1.417,1.285
0.215,0.721625,1.556,0.627,1.286
0.514,2.999844,0.495,0.421,0.361
1.534,0.546594,0.568,1.205,0.51
1.139,0.126859,0.201,0.286,0.357
0.569,0.223531,0.644,0.627,1.238
1.102,1.265469,1.175,1.733,1.362
0.24,1.208656,1.041,1.516,0.495
0.336,2.289812,1.563,1.421,0.686
0.471,0.220531,0.036,0.145,0.99
0.427,0.921906,1.193,0.159,1.615
0.81,0.498719,1.548,0.14,0.233
0.306,1.643344,0.954,1.417,1.377
0.755,1.059953,0.357,0.109,0.777
0.621,0.075703,0.115,0.151,0.665
0.988,1.749219,1.625,0.045,1.182
0.765,0.155062,0.206,0.369,0.809
0.347,0.695875,0.056,0.026,1.228
0.736,2.204812,0.748,0.362,0.944
1.566,0.347219,0.838,0.654,0.239
0.746,2.634984,1.031,0.199,1.369
0.808,1.770062,0.039,0.165,2.954
0.221,0.236094,0.21,0.059,0.782
0.992,1.083438,0.325,0.56,0.768
0.684,1.044906,1.016,0.149,2.179
0.065,0.657969,0.44,1.38,1.729
1.129,0.091844,0.302,0.167,0.268
0.764,9.590344,1.162,0.081,0.775
0.305,0.590117,0.555,0.003,1.331
0.888,0.118875,0.633,1.436,0.082
0.017,0.801344,0.959,1.222,1.53
0.781,0.043797,1.028,0.096,0.721
0.733,0.556969,0.116,0.369,0.931
0.897,0.346688,0.447,0.013,0.288
1.149,2.231031,1.599,0.122,1.215
1.336,3.296375,0.412,0.109,0.535
2.573,0.777656,0.61,1.198,0.155
0.374,0.881844,0.212,0.184,1.429
0.811,0.491594,0.348,0.952,0.436
0.713,0.202531,0.108,0.171,0.149
1.396,1.188516,1.24,0.494,2.294
0.69,1.205484,0.359,0.114,0.584
0.941,0.411406,0.215,0.891,0.793
1.474,0.239531,0.515,0.436,1.442
0.302,0.238594,0.31,0.332,0.847
0.61,2.434719,1.743,0.087,0.717
1.252,1.832719,0.571,0.003,0.286
0.279,0.738906,1.305,0.156,2.269
0.066,0.290844,0.561,1.558,1.605
0.59,0.992094,2.631,1.268,1.95
0.761,0.307938,1.732,1.749,1.039
1.111,1.182062,0.717,0.351,0.997
1.232,1.171984,1.658,1.447,1.847
1.165,0.877969,0.235,0.817,0.274
0.582,2.572562,0.316,0.113,0.473
0.316,2.281812,1.504,1.16,1.566
0.624,0.816656,1.029,1.273,1.299
0.544,2.503844,0.639,0.156,1.439
0.203,1.863016,1.102,0.07,0.893
0.66,0.855234,0.44,0.089,0.973
1.315,1.326969,0.184,0.447,0.01
0.778,0.387438,1.179,1.268,1.862
0.586,0.581469,0.451,0.099,1.265
