,idx1,idx2,hori,vert
1597,43,995,1.300538942633323,0.7345789691634346
1598,43,996,1.8115547890838755,0.8242627795915906
1599,44,44,0.0,0.0
1600,44,51,1.925043246095422,0.10045319670065328
1601,44,85,0.4038177169592754,0.2871123284056466
1602,44,121,0.9791981483511303,0.7289467168727024
1603,44,148,1.0097538604847935,0.9845743054501364
1604,44,161,0.8889444885270976,1.2648982853268098
1605,44,195,1.922266009344762,1.235578565533162
1606,44,201,1.9868197393830327,0.7823178933357522
1607,44,219,0.7826781897876629,1.8592445537734057
1608,44,249,0.6762341330038412,0.1045394124085833
1609,44,253,1.261455483215616,0.6391425106743082
1610,44,272,0.5230954740365908,0.4416772327468116
1611,44,280,1.4798080111206202,0.40675490422001165
1612,44,308,1.743556994809887,1.1379695617342205
1613,44,323,0.9446753048704981,1.0829809416129865
1614,44,349,1.0636747223772087,0.1432363883563048
1615,44,374,1.6179576894232517,1.7214858090141552
1616,44,476,1.5465657331653828,0.17671477277428493
1617,44,505,0.7615168019638205,1.0428170444589795
1618,44,512,0.21389274433122377,0.38610508821364964
1619,44,553,0.734635701950545,1.2537249813195412
1620,44,611,0.09429761414693397,0.9647908354619904
1621,44,651,1.1907558872184787,1.1285476295475982
1622,44,659,1.141860352535229,1.1763043524227177
1623,44,709,1.0663131655713896,1.045701961029119
1624,44,710,1.4721385092499522,0.22182534720742297
1625,44,715,1.8519411404646569,0.3243672570397812
1626,44,740,1.8344587588392551,1.3866065370354281
1627,44,752,1.5695549442424872,1.1818435069731985
1628,44,830,0.9285061085969594,0.6013036553229067
1629,44,831,1.1039583275025053,1.29051488167173
1630,44,844,0.7201525088345028,0.698439837788319
1631,44,863,0.6602154183937091,1.8907216187729736
1632,44,864,0.5181253252587036,0.17482315153658237
1633,44,870,1.1930726599950365,0.6101399054292178
1634,44,872,1.9265596681528854,0.057437765967950326
1635,44,908,1.3493291303658814,0.22033399580206786
1636,44,946,1.9824353552163905,0.21108422665400395
1637,44,968,1.120632015255634,0.8170881732766702
1638,44,970,1.31987535258522,0.293204032746562
1639,44,977,0.19449092806092783,0.5161170506776526
1640,44,984,1.3386353708422318,0.5246205276090059
1641,44,993,1.1438365982280927,1.0991615292132029
1642,44,999,0.5401600034529082,1.4455954438561438
1643,45,45,0.0,0.0
1644,45,65,1.5884602760052176,0.3141541675048538
1645,45,190,0.29531617326304527,0.7900554287183595
1646,45,235,0.8731907183457853,0.9850272668883836
1647,45,310,1.4144689573869134,1.7335645124045358
1648,45,311,1.897878747394611,0.7963624902535721
1649,45,321,1.6435942915868105,0.84064472039462
1650,45,346,0.6364593470301286,0.26885746319091414
1651,45,367,0.66477112809463,1.2181075242472952
1652,45,399,1.6477119144180352,0.6891288635384981
1653,45,403,1.6253177480997316,0.5991289696005051
1654,45,575,0.016189862436723754,0.31291958805976083
1655,45,614,0.16063911595134475,0.8251340103818074
1656,45,698,0.7446094783642566,1.3319077559790458
1657,45,784,1.3359169222912446,0.8965549607198318
1658,45,787,0.34725191823362317,0.9731586781663318
1659,45,903,1.4366667115955858,0.767746743798889
1660,45,960,0.7341369152937388,1.2189094100915983
1661,45,973,1.7219100149182485,0.12446920222047266
1662,45,978,1.319653394508732,0.886757559410893
1663,46,46,0.0,0.0
1664,46,62,1.6300186215847716,1.1156663007399474
1665,46,97,1.7115760876089965,0.757403267262369
1666,46,115,1.891690394545423,0.6894753515911106
1667,46,126,1.7875337383431318,0.27960234638148906
1668,46,139,1.761026365695477,0.4299363488588024
1669,46,185,1.7687827730473946,0.45308635598263575
1670,46,192,0.958747217257989,0.42003579910913325
1671,46,226,1.5841801197840566,1.1592553300567305
1672,46,237,1.254327041151079,0.08971589789784047
1673,46,342,1.5610595503658677,0.36632252751874694
1674,46,400,1.9173522637231095,0.6517890994975132
1675,46,510,1.6754346250725707,0.46954383940149275
1676,46,514,1.7940727479481902,0.6019131552122854
1677,46,537,1.286364523171925,0.16042455056415567
1678,46,547,1.8518356047967035,0.676105243505528
1679,46,551,1.368379213760471,0.6135580982557367
1680,46,564,0.8056930260639936,0.7710051164189426
1681,46,572,1.8530822339403048,0.5671030639589335
1682,46,591,1.6042740327794616,0.4951261165021897
1683,46,599,1.8073277025829229,0.5315521578176194
1684,46,636,1.7848389056164276,0.8517746181615549
1685,46,670,0.3720350642976194,0.017678182322517385
1686,46,717,1.8232685368873602,0.5675583803782028
1687,46,736,0.36602728056280187,0.3316939074867114
1688,46,749,1.7682103052610803,0.4516621488144374
1689,46,771,1.9348358610035823,0.7089002529347709
1690,46,776,0.44818103717938074,0.5956329659246475
