velest,NonLinLoc,hypoinverse,hypoDD,growclust
0.234058194003,2.83460027003,0.437575254203,0.321332839217,0.366859325518
0.421486792159,6.93290170641,2.6047264856,0.123284516423,0.235676667919
0.347742453987,1.47763697975,0.443752472568,0.113535568052,0.135173073089
0.260227094443,2.32359464226,0.413941986616,0.102239777933,0.154837443776
0.243513338581,2.38469142635,0.370119658536,0.160568476804,0.214614806433
0.331233721421,1.03651344348,0.531718760038,0.0533738050143,0.176806019039
0.413710127741,1.59318111606,0.731404225723,0.382085770408,1.94074358535
0.708043406166,5.75529940464,0.706493426995,0.261590033789,0.340973931459
0.209372939942,1.11921038639,0.259565515266,0.0685402655742,0.140566265278
0.555404125792,1.64255765351,1.18999402784,0.0652335274604,0.111436122141
0.258548678059,1.00380511341,0.309813312799,0.0943734990491,0.138642108475
0.247737699785,1.94798072683,0.48361626036,0.118665829222,0.197650077029
0.232533698383,1.87055020354,0.752479905691,0.0656767241618,0.168012570599
0.341949757838,0.996854945827,0.477852352447,0.071565239165,0.173965714468
0.225913426468,1.09889105607,0.456922034441,0.0524339478038,0.123216688465
0.41397197529,2.13590162767,0.902070275778,0.0737062706338,0.242620266471
0.149392686691,2.81108566122,0.23602864658,0.0839755328196,0.0828280775109
0.241992275007,0.68403600848,0.35711381149,0.0561799616634,0.114534959116
0.309597429644,1.01212187428,0.594845249842,0.0724472515008,0.12896593183
0.241920465887,2.00352920278,0.358719203644,0.119669780531,0.189350824296
0.445693868747,2.90496723165,0.699571898843,0.0432823652486,0.278635879532
0.418268231993,0.998796550187,0.800964663376,0.106687382278,0.229831330093
0.36539843262,1.42014436135,0.535418087009,0.0643431247881,0.166315791021
0.331291469098,0.926219053373,0.425345265895,0.102238886243,0.157962312962
0.223334901621,1.16889535661,0.379805528051,0.123176977169,0.174299029946
0.332316996887,1.0250526116,0.315972816211,0.0910361347272,0.660553342992
0.381022993076,4.36762229277,1.42059947618,0.0733220816317,0.134968827069
0.329091096937,0.971366168047,0.43901951671,0.0700176632104,0.136422104676
0.226184385803,0.760591087313,0.325834448374,0.120799898872,0.292137002764
0.346663724739,1.29782142232,0.665681691231,0.0407491079641,0.10008391505
0.222244703352,1.15732719203,0.418354939662,0.0629140905194,0.160714071413
0.460403835924,1.07887647552,0.718479285411,0.0621271174264,0.087409323977
0.244108484968,1.71299314117,0.266264394573,0.0952823962221,0.232029983388
0.284943433536,0.493121667818,0.353881518619,0.0588018382168,0.126868013907
0.292252885987,3.3420185256,0.357085070604,0.117555608395,0.172636223835
