evid,network,station,phase,residual
1,X,ST10,P,-0.21910268
1,X,ST11,P,-0.24363232
1,X,ST11,S,0.0793187
1,X,ST12,P,-0.07310718
1,X,ST12,S,0.12496114
1,X,ST13,P,-0.21128279
1,X,ST15,S,0.054512143
1,X,ST16,P,-0.30566436
1,X,ST16,S,-0.087965965
1,X,ST18,S,0.0026688576
1,X,ST19,P,-0.18161571
1,X,ST20,P,0.07575024
1,X,ST21,P,0.17897832
1,X,ST22,P,-0.06255579
1,X,ST23,S,0.33509862
1,X,ST24,P,-0.07562077
1,X,ST25,P,0.019375414
1,X,ST26,P,-0.09393689
2,X,ST11,S,0.019084632
2,X,ST12,P,0.004980743
2,X,ST12,S,0.14021999
2,X,ST13,P,-0.14397886
2,X,ST14,P,-0.07571772
2,X,ST15,P,-0.24269086
2,X,ST15,S,0.017345667
2,X,ST16,P,-0.17688024
2,X,ST16,S,-0.122561455
2,X,ST18,S,-0.11719316
2,X,ST20,P,0.2835291
2,X,ST20,S,0.33971986
2,X,ST21,P,0.108374596
2,X,ST21,S,0.4926209
2,X,ST22,P,0.050292492
2,X,ST22,S,0.16705534
2,X,ST23,P,-0.05271724
2,X,ST23,S,0.27107012
2,X,ST26,S,0.035524547
3,X,ST10,P,-0.13572419
3,X,ST11,S,0.06949338
3,X,ST14,P,-0.2105681
3,X,ST18,P,-0.19381106
3,X,ST18,S,0.0026688576
3,X,ST19,P,-0.15026742
3,X,ST20,P,0.020560928
3,X,ST20,S,0.23658466
3,X,ST21,P,0.1787726
3,X,ST21,S,0.5045037
3,X,ST22,P,-0.012221217
3,X,ST22,S,0.14051759
3,X,ST23,P,0.023615062
3,X,ST24,P,-0.107088864
3,X,ST25,P,0.023944765
3,X,ST25,S,0.38858536
3,X,ST26,P,-0.071700364
4,X,ST10,P,-0.1360488
4,X,ST11,P,-0.24842954
4,X,ST12,P,-0.0035040975
4,X,ST12,S,0.13168389
4,X,ST13,P,-0.19013932
4,X,ST13,S,-0.056426346
4,X,ST14,P,-0.2105681
4,X,ST14,S,-0.1565044
4,X,ST15,S,0.059610844
4,X,ST16,P,-0.22964618
4,X,ST18,P,-0.19381106
4,X,ST19,P,-0.14897233
4,X,ST19,S,0.050468266
4,X,ST20,P,0.020298846
4,X,ST20,S,0.23658466
4,X,ST21,P,0.17763221
4,X,ST22,P,-0.0124082565
4,X,ST23,P,0.02275604
4,X,ST24,P,-0.107088864
4,X,ST25,S,0.38858536
4,X,ST26,P,-0.071700364
5,X,ST12,P,-0.0035040975
5,X,ST12,S,0.13164863
5,X,ST13,P,-0.19013932
5,X,ST14,P,-0.2068983
5,X,ST14,S,-0.1565044
5,X,ST15,P,-0.19665289
5,X,ST17,P,-0.08495736
5,X,ST18,P,-0.19198763
5,X,ST18,S,0.0026688576
5,X,ST19,P,-0.14897233
5,X,ST20,P,0.015501983
5,X,ST20,S,0.23658466
5,X,ST21,S,0.5045037
5,X,ST22,P,-0.022355855
5,X,ST23,P,0.017588317
5,X,ST24,P,-0.11038053
5,X,ST26,P,-0.07490173
6,X,ST10,P,-0.31398672
6,X,ST11,S,-0.20671785
6,X,ST12,P,-0.12808657
6,X,ST12,S,-0.032176584
6,X,ST13,P,-0.19932356
6,X,ST13,S,-0.03781748
6,X,ST14,P,-0.23700884
6,X,ST15,S,-0.00088122487
6,X,ST16,S,0.012514412
6,X,ST17,P,0.017491102
6,X,ST18,P,-0.20403734
6,X,ST18,S,-0.058965385
6,X,ST19,P,-0.21316117
6,X,ST19,S,-0.08862808
6,X,ST20,P,0.14216405
6,X,ST20,S,0.44368464
6,X,ST21,P,0.06970179
6,X,ST23,P,-0.02337277
