evid,network,station,phase,residual
1,X,ST10,P,-0.20718628
1,X,ST11,P,-0.2400788
1,X,ST11,S,0.0830999
1,X,ST12,P,-0.06665039
1,X,ST12,S,0.12362659
1,X,ST13,P,-0.20680386
1,X,ST15,S,0.05817187
1,X,ST16,P,-0.29627478
1,X,ST16,S,-0.08675265
1,X,ST18,S,0.005818963
1,X,ST19,P,-0.17598164
1,X,ST20,P,0.06808383
1,X,ST21,P,0.18230176
1,X,ST22,P,-0.06404263
1,X,ST23,S,0.3367536
1,X,ST24,P,-0.0753392
1,X,ST25,P,0.023345202
1,X,ST26,P,-0.089164585
2,X,ST11,S,0.029699624
2,X,ST12,P,-0.0004172325
2,X,ST12,S,0.13533145
2,X,ST13,P,-0.14754406
2,X,ST14,P,-0.08312288
2,X,ST15,P,-0.23377275
2,X,ST15,S,0.025523543
2,X,ST16,P,-0.18528795
2,X,ST16,S,-0.1176157
2,X,ST18,S,-0.096845925
2,X,ST20,P,0.2510566
2,X,ST20,S,0.32034835
2,X,ST21,P,0.12101412
2,X,ST21,S,0.49637508
2,X,ST22,P,0.035900712
2,X,ST22,S,0.15650508
2,X,ST23,P,-0.03995076
2,X,ST23,S,0.282925
2,X,ST26,S,0.044727027
3,X,ST10,P,-0.13366485
3,X,ST11,S,0.07361528
3,X,ST14,P,-0.20592389
3,X,ST18,P,-0.19093174
3,X,ST18,S,0.005818963
3,X,ST19,P,-0.14859456
3,X,ST20,P,0.018797703
3,X,ST20,S,0.23087358
3,X,ST21,P,0.18117312
3,X,ST21,S,0.5057567
3,X,ST22,P,-0.01575923
3,X,ST22,S,0.1363259
3,X,ST23,P,0.02498275
3,X,ST24,P,-0.10309398
3,X,ST25,P,0.027584821
3,X,ST25,S,0.3907725
3,X,ST26,P,-0.06906387
4,X,ST10,P,-0.13398945
4,X,ST11,P,-0.24520868
4,X,ST12,P,-0.0051046014
4,X,ST12,S,0.12926012
4,X,ST13,P,-0.18795899
4,X,ST13,S,-0.051942527
4,X,ST14,P,-0.20592389
4,X,ST14,S,-0.15311778
4,X,ST15,S,0.06285906
4,X,ST16,P,-0.22687373
4,X,ST18,P,-0.19093174
4,X,ST19,P,-0.14729947
4,X,ST19,S,0.05313474
4,X,ST20,P,0.018535621
4,X,ST20,S,0.23087358
4,X,ST21,P,0.18003273
4,X,ST22,P,-0.015946269
4,X,ST23,P,0.024576008
4,X,ST24,P,-0.10309398
4,X,ST25,S,0.3907725
4,X,ST26,P,-0.06906387
5,X,ST12,P,-0.0051046014
5,X,ST12,S,0.12922487
5,X,ST13,P,-0.18795899
5,X,ST14,P,-0.20225409
5,X,ST14,S,-0.15311778
5,X,ST15,P,-0.19415152
5,X,ST17,P,-0.08078569
5,X,ST18,P,-0.18910831
5,X,ST18,S,0.005818963
5,X,ST19,P,-0.14729947
5,X,ST20,P,0.014522143
5,X,ST20,S,0.23087358
5,X,ST21,S,0.5057567
5,X,ST22,P,-0.024629593
5,X,ST23,P,0.020061314
5,X,ST24,P,-0.10555434
5,X,ST26,P,-0.071124345
6,X,ST10,P,-0.3026868
6,X,ST11,S,-0.1993568
6,X,ST12,P,-0.11993635
6,X,ST12,S,-0.027197838
6,X,ST13,P,-0.19688573
6,X,ST13,S,-0.036774278
6,X,ST14,P,-0.22833505
6,X,ST15,S,0.000926882
6,X,ST16,S,0.014343917
6,X,ST17,P,0.02233541
6,X,ST18,P,-0.2011148
6,X,ST18,S,-0.060057223
6,X,ST19,P,-0.21338731
6,X,ST19,S,-0.09084341
6,X,ST20,P,0.14812368
6,X,ST20,S,0.45059627
6,X,ST21,P,0.074885964
6,X,ST23,P,-0.022684574
6,X,ST24,S,0.18534964
6,X,ST26,P,-0.039803
