evid,network,station,phase,residual
1,X,ST10,P,-0.19520026
1,X,ST11,P,-0.2358129
1,X,ST11,S,0.08648139
1,X,ST12,P,-0.059811592
1,X,ST12,S,0.12105942
1,X,ST13,P,-0.20259315
1,X,ST15,S,0.060191035
1,X,ST16,P,-0.28661275
1,X,ST16,S,-0.08388758
1,X,ST18,S,0.008762836
1,X,ST19,P,-0.17008823
1,X,ST20,P,0.059651382
1,X,ST21,P,0.18600637
1,X,ST22,P,-0.06399256
1,X,ST23,S,0.33849543
1,X,ST24,P,-0.07500327
1,X,ST25,P,0.027680725
1,X,ST26,P,-0.084522456
2,X,ST11,S,0.0403347
2,X,ST12,P,-0.004821658
2,X,ST12,S,0.13030022
2,X,ST13,P,-0.151252
2,X,ST14,P,-0.09109679
2,X,ST15,P,-0.224397
2,X,ST15,S,0.031502247
2,X,ST16,P,-0.19256145
2,X,ST16,S,-0.11331415
2,X,ST18,S,-0.07718843
2,X,ST20,P,0.2159177
2,X,ST20,S,0.30125403
2,X,ST21,P,0.13389325
2,X,ST21,S,0.4995005
2,X,ST22,P,0.02110982
2,X,ST22,S,0.14893243
2,X,ST23,P,-0.026373118
2,X,ST23,S,0.29441696
2,X,ST26,S,0.05349821
3,X,ST10,P,-0.1324532
3,X,ST11,S,0.07699677
3,X,ST14,P,-0.20140192
3,X,ST18,P,-0.1880579
3,X,ST18,S,0.008762836
3,X,ST19,P,-0.14677387
3,X,ST20,P,0.016445108
3,X,ST20,S,0.22502649
3,X,ST21,P,0.1844053
3,X,ST21,S,0.5067901
3,X,ST22,P,-0.019741893
3,X,ST22,S,0.13288099
3,X,ST23,P,0.026658714
3,X,ST24,P,-0.09921718
3,X,ST25,P,0.03185013
3,X,ST25,S,0.39315298
3,X,ST26,P,-0.0661318
4,X,ST10,P,-0.13277781
4,X,ST11,P,-0.24145877
4,X,ST12,P,-0.006904781
4,X,ST12,S,0.12611657
4,X,ST13,P,-0.1850901
4,X,ST13,S,-0.04860568
4,X,ST14,P,-0.20140192
4,X,ST14,S,-0.14799201
4,X,ST15,S,0.064718604
4,X,ST16,P,-0.22602615
4,X,ST18,P,-0.1880579
4,X,ST19,P,-0.14547879
