evid,network,station,phase,residual
1,X,ST10,P,-0.16904002
1,X,ST11,P,-0.22453725
1,X,ST11,S,0.08764285
1,X,ST12,P,-0.044202685
1,X,ST12,S,0.11074281
1,X,ST13,P,-0.19205129
1,X,ST15,S,0.063473105
1,X,ST16,P,-0.2672007
1,X,ST16,S,-0.077788174
1,X,ST18,S,0.012905061
1,X,ST19,P,-0.15761358
1,X,ST20,P,0.03945274
1,X,ST21,P,0.19264817
1,X,ST22,P,-0.060509145
1,X,ST23,S,0.33800894
1,X,ST24,P,-0.07273698
1,X,ST25,P,0.03703925
1,X,ST26,P,-0.07445839
2,X,ST11,S,0.060378075
2,X,ST12,P,-0.012149096
2,X,ST12,S,0.11480075
2,X,ST13,P,-0.1555948
2,X,ST14,P,-0.111179024
2,X,ST15,P,-0.20571142
2,X,ST15,S,0.042401075
2,X,ST16,P,-0.20581847
2,X,ST16,S,-0.09975362
2,X,ST18,S,-0.038989246
2,X,ST20,P,0.13814485
2,X,ST20,S,0.2624146
2,X,ST21,P,0.1594891
2,X,ST21,S,0.50212634
2,X,ST22,P,-0.00650239
2,X,ST22,S,0.14234766
2,X,ST23,P,-0.00054737926
2,X,ST23,S,0.31289387
2,X,ST26,S,0.073874295
3,X,ST10,P,-0.13002491
3,X,ST11,S,0.080812514
3,X,ST14,P,-0.19202408
3,X,ST18,P,-0.18273711
3,X,ST18,S,0.012905061
3,X,ST19,P,-0.14202052
3,X,ST20,P,0.013449557
3,X,ST20,S,0.21240169
3,X,ST21,P,0.18941417
3,X,ST21,S,0.5035207
3,X,ST22,P,-0.026011407
3,X,ST22,S,0.13262755
3,X,ST23,P,0.029000342
3,X,ST24,P,-0.08988243
3,X,ST25,P,0.040905446
3,X,ST25,S,0.39097217
3,X,ST26,P,-0.058717996
4,X,ST10,P,-0.13034952
4,X,ST11,P,-0.23005235
4,X,ST12,P,-0.007489085
4,X,ST12,S,0.113591135
4,X,ST13,P,-0.17836276
4,X,ST13,S,-0.042384207
4,X,ST14,P,-0.19202408
4,X,ST14,S,-0.1335895
4,X,ST15,S,0.0673064
4,X,ST16,P,-0.22296134
4,X,ST18,P,-0.18273711
4,X,ST19,P,-0.14072543
4,X,ST19,S,0.060100585
4,X,ST20,P,0.013608642
4,X,ST20,S,0.21240169
4,X,ST21,P,0.18827379
4,X,ST22,P,-0.026011407
4,X,ST23,P,0.028953135
4,X,ST24,P,-0.08988243
4,X,ST25,S,0.39097217
4,X,ST26,P,-0.058717996
5,X,ST12,P,-0.007489085
5,X,ST12,S,0.11355588
5,X,ST13,P,-0.17836276
5,X,ST14,P,-0.18835428
5,X,ST14,S,-0.1335895
5,X,ST15,P,-0.18667346
