evid,network,station,phase,residual
1,X,ST10,P,-0.18228608
1,X,ST11,P,-0.2309717
1,X,ST11,S,0.08725399
1,X,ST12,P,-0.052231014
1,X,ST12,S,0.117464066
1,X,ST13,P,-0.19729882
1,X,ST15,S,0.06275511
1,X,ST16,P,-0.27718794
1,X,ST16,S,-0.08010155
1,X,ST18,S,0.011641622
1,X,ST19,P,-0.16405237
1,X,ST20,P,0.049763925
1,X,ST21,P,0.18895113
1,X,ST22,P,-0.063342154
1,X,ST23,S,0.33869046
1,X,ST24,P,-0.074171424
1,X,ST25,P,0.03253296
1,X,ST26,P,-0.0797191
2,X,ST11,S,0.05066371
2,X,ST12,P,-0.008675575
2,X,ST12,S,0.12406963
2,X,ST13,P,-0.15387723
2,X,ST14,P,-0.10053268
2,X,ST15,P,-0.21522862
2,X,ST15,S,0.037308574
2,X,ST16,P,-0.19914228
2,X,ST16,S,-0.107045054
2,X,ST18,S,-0.05784005
2,X,ST20,P,0.17737567
2,X,ST20,S,0.28202724
2,X,ST21,P,0.14580107
2,X,ST21,S,0.5016471
2,X,ST22,P,0.006865382
2,X,ST22,S,0.14433882
2,X,ST23,P,-0.013725847
2,X,ST23,S,0.30461526
2,X,ST26,S,0.06315982
3,X,ST10,P,-0.13160515
3,X,ST11,S,0.079440564
3,X,ST14,P,-0.19678983
3,X,ST18,P,-0.18484992
3,X,ST18,S,0.011641622
3,X,ST19,P,-0.14405638
3,X,ST20,P,0.014012165
3,X,ST20,S,0.21949357
3,X,ST21,P,0.18614724
3,X,ST21,S,0.50662863
3,X,ST22,P,-0.02307117
3,X,ST22,S,0.13138956
3,X,ST23,P,0.02707392
3,X,ST24,P,-0.09494525
3,X,ST25,P,0.036702365
3,X,ST25,S,0.39528587
3,X,ST26,P,-0.062423438
4,X,ST10,P,-0.13192976
4,X,ST11,P,-0.2364868
4,X,ST12,P,-0.0075306892
4,X,ST12,S,0.12170702
4,X,ST13,P,-0.18249813
4,X,ST13,S,-0.04490441
4,X,ST14,P,-0.19678983
4,X,ST14,S,-0.142043
4,X,ST15,S,0.0669024
4,X,ST16,P,-0.22529718
4,X,ST18,P,-0.18484992
4,X,ST19,P,-0.14276129
4,X,ST19,S,0.058075935
4,X,ST20,P,0.013840564
4,X,ST20,S,0.21949357
4,X,ST21,P,0.18500686
4,X,ST22,P,-0.02307117
4,X,ST23,P,0.027026713
4,X,ST24,P,-0.09494525
4,X,ST25,S,0.39528587
4,X,ST26,P,-0.062423438
5,X,ST12,P,-0.0075306892
5,X,ST12,S,0.121671766
5,X,ST13,P,-0.18249813
5,X,ST14,P,-0.19312003
5,X,ST14,S,-0.142043
5,X,ST15,P,-0.18937206
5,X,ST17,P,-0.07325542
5,X,ST18,P,-0.1830265
5,X,ST18,S,0.011641622
5,X,ST19,P,-0.14276129
5,X,ST20,P,0.011433907
5,X,ST20,S,0.21949357
5,X,ST21,S,0.50662863
5,X,ST22,P,-0.02956736
5,X,ST23,P,0.024135768
5,X,ST24,P,-0.09598243
5,X,ST26,P,-0.06322971
6,X,ST10,P,-0.2811898
6,X,ST11,S,-0.17928678
6,X,ST12,P,-0.100113034
6,X,ST12,S,-0.019910812
6,X,ST13,P,-0.19204101
6,X,ST13,S,-0.037683487
6,X,ST14,P,-0.2066659
6,X,ST15,S,0.002592951
6,X,ST16,S,0.021267116
6,X,ST17,P,0.035418987
6,X,ST18,P,-0.19701713
6,X,ST18,S,-0.060269058
6,X,ST19,P,-0.21333933
6,X,ST19,S,-0.09615776
6,X,ST20,P,0.16317832
6,X,ST20,S,0.46262604
6,X,ST21,P,0.0853799
6,X,ST23,P,-0.022524893
6,X,ST24,S,0.18337405
6,X,ST26,P,-0.03548947
6,X,ST26,S,0.15473914
7,X,ST10,P,-0.2593407
7,X,ST11,P,-0.22770369
7,X,ST12,P,-0.14194518
7,X,ST13,S,-0.029163718
7,X,ST14,P,-0.10274729
7,X,ST15,P,-0.13983518
7,X,ST16,P,-0.07929033
7,X,ST17,P,0.17127895
7,X,ST17,S,0.246252
7,X,ST20,S,0.4661634
