evid,network,station,phase,residual
1,X,ST10,P,-0.14049101
1,X,ST11,P,-0.2051686
1,X,ST11,S,0.067474544
1,X,ST12,P,-0.027594328
1,X,ST12,S,0.07163888
1,X,ST13,P,-0.16744614
1,X,ST15,S,0.050493836
1,X,ST16,P,-0.22798514
1,X,ST16,S,-0.06411725
1,X,ST18,S,0.0045470595
1,X,ST19,P,-0.14273733
1,X,ST20,P,0.03655822
1,X,ST21,P,0.1900959
1,X,ST22,P,-0.023533165
1,X,ST23,S,0.31072867
1,X,ST24,P,-0.06512153
1,X,ST25,P,0.039702624
1,X,ST26,P,-0.0497953
2,X,ST11,S,0.05403328
2,X,ST12,P,-0.019344449
2,X,ST12,S,0.072847545
2,X,ST13,P,-0.15160665
2,X,ST14,P,-0.127072
2,X,ST15,P,-0.18731022
2,X,ST15,S,0.039791703
2,X,ST16,P,-0.20522547
2,X,ST16,S,-0.074633956
2,X,ST18,S,-0.011431754
2,X,ST20,P,0.07067538
2,X,ST20,S,0.21255445
2,X,ST21,P,0.17758036
2,X,ST21,S,0.46313643
2,X,ST22,P,-0.008302867
2,X,ST22,S,0.15558723
2,X,ST23,P,0.020536602
2,X,ST23,S,0.30036962
2,X,ST26,S,0.09830904
3,X,ST10,P,-0.123055816
3,X,ST11,S,0.061791003
3,X,ST14,P,-0.16601703
3,X,ST18,P,-0.17442375
3,X,ST18,S,0.0045470595
3,X,ST19,P,-0.13642722
3,X,ST20,P,0.02777613
3,X,ST20,S,0.19639963
3,X,ST21,P,0.18855909
3,X,ST21,S,0.4619137
3,X,ST22,P,-0.008515179
3,X,ST22,S,0.15216708
3,X,ST23,P,0.027287304
3,X,ST24,P,-0.073488474
3,X,ST25,P,0.042192966
3,X,ST25,S,0.36341247
3,X,ST26,P,-0.040981084
4,X,ST10,P,-0.12338042
4,X,ST11,P,-0.20706308
4,X,ST12,P,-0.012981772
4,X,ST12,S,0.072847545
4,X,ST13,P,-0.16436276
4,X,ST13,S,-0.038718224
4,X,ST14,P,-0.16601703
4,X,ST14,S,-0.105030596
4,X,ST15,S,0.053114057
4,X,ST16,P,-0.20754498
4,X,ST18,P,-0.17442375
4,X,ST19,P,-0.13513213
4,X,ST19,S,0.041102856
4,X,ST20,P,0.027935214
4,X,ST20,S,0.19639963
4,X,ST21,P,0.1874187
4,X,ST22,P,-0.008515179
4,X,ST23,P,0.027240098
4,X,ST24,P,-0.073488474
4,X,ST25,S,0.36341247
4,X,ST26,P,-0.040981084
5,X,ST12,P,-0.012981772
5,X,ST12,S,0.07281229
5,X,ST13,P,-0.16436276
5,X,ST14,P,-0.16234723
5,X,ST14,S,-0.105030596
5,X,ST15,P,-0.18374693
5,X,ST17,P,-0.04516226
5,X,ST18,P,-0.17294097
5,X,ST18,S,0.0045470595
5,X,ST19,P,-0.13513213
5,X,ST20,P,0.02777613
5,X,ST20,S,0.19639963
5,X,ST21,S,0.4619137
