evid,network,station,phase,residual
1,X,ST10,P,-0.24005717
1,X,ST11,P,-0.25108576
1,X,ST11,S,0.070747435
1,X,ST12,P,-0.08531648
1,X,ST12,S,0.12666214
1,X,ST13,P,-0.21964377
1,X,ST15,S,0.047921777
1,X,ST16,P,-0.32269832
1,X,ST16,S,-0.08981606
1,X,ST18,S,-0.0050547123
1,X,ST19,P,-0.19184512
1,X,ST20,P,0.08980907
1,X,ST21,P,0.17232627
1,X,ST22,P,-0.062118173
1,X,ST23,S,0.3313473
1,X,ST24,P,-0.07751262
1,X,ST25,P,0.009795517
1,X,ST26,P,-0.10372195
2,X,ST11,S,-0.0012854338
2,X,ST12,P,0.017505527
2,X,ST12,S,0.14994651
2,X,ST13,P,-0.13644406
2,X,ST14,P,-0.06657103
2,X,ST15,P,-0.2574966
2,X,ST15,S,0.0027231574
2,X,ST16,P,-0.15897089
2,X,ST16,S,-0.13180977
2,X,ST18,S,-0.157682
2,X,ST20,P,0.34182346
2,X,ST20,S,0.37607154
2,X,ST21,P,0.08410263
2,X,ST21,S,0.48575288
2,X,ST22,P,0.07432079
2,X,ST22,S,0.19050917
2,X,ST23,P,-0.075285345
2,X,ST23,S,0.25082576
2,X,ST26,S,0.017895043
3,X,ST10,P,-0.13989812
3,X,ST11,S,0.060922116
3,X,ST14,P,-0.22050944
3,X,ST18,P,-0.19984442
3,X,ST18,S,-0.0050547123
3,X,ST19,P,-0.15351057
3,X,ST20,P,0.023886807
3,X,ST20,S,0.24727237
3,X,ST21,P,0.1728482
3,X,ST21,S,0.50210035
3,X,ST22,P,-0.0066821575
3,X,ST22,S,0.15098453
3,X,ST23,P,0.021115184
3,X,ST24,P,-0.11375332
3,X,ST25,P,0.0158135
3,X,ST25,S,0.38535574
3,X,ST26,P,-0.07771507
4,X,ST10,P,-0.14022273
4,X,ST11,P,-0.25568753
4,X,ST12,P,-0.0019070506
4,X,ST12,S,0.13614738
4,X,ST13,P,-0.1940544
4,X,ST13,S,-0.06465948
4,X,ST14,P,-0.22050944
4,X,ST14,S,-0.16416502
4,X,ST15,S,0.05524671
4,X,ST16,P,-0.2352002
4,X,ST18,P,-0.19984442
4,X,ST19,P,-0.15221548
4,X,ST19,S,0.04492885
4,X,ST20,P,0.023624726
4,X,ST20,S,0.24727237
4,X,ST21,P,0.17170781
4,X,ST22,P,-0.006869197
4,X,ST23,P,0.019832492
4,X,ST24,P,-0.11375332
4,X,ST25,S,0.38535574
4,X,ST26,P,-0.07771507
5,X,ST12,P,-0.0019070506
5,X,ST12,S,0.13611212
5,X,ST13,P,-0.1940544
5,X,ST14,P,-0.21683964
5,X,ST14,S,-0.16416502
5,X,ST15,P,-0.20209914
5,X,ST17,P,-0.09383702
5,X,ST18,P,-0.198021
5,X,ST18,S,-0.0050547123
5,X,ST19,P,-0.15221548
5,X,ST20,P,0.017943092
5,X,ST20,S,0.24727237
5,X,ST21,S,0.50210035
5,X,ST22,P,-0.018625319
5,X,ST23,P,0.013799131
5,X,ST24,P,-0.11864042
5,X,ST26,P,-0.081539005
6,X,ST10,P,-0.3326177
6,X,ST11,S,-0.22084588
6,X,ST12,P,-0.1448344
6,X,ST12,S,-0.03405896
6,X,ST13,P,-0.20299974
6,X,ST13,S,-0.03981495
6,X,ST14,P,-0.25289288
6,X,ST15,S,-0.0044257343
6,X,ST16,S,0.0075965524
6,X,ST17,P,0.008110881
6,X,ST18,P,-0.21005687
6,X,ST18,S,-0.05752319
6,X,ST19,P,-0.21325183
6,X,ST19,S,-0.084537
6,X,ST20,P,0.12914234
6,X,ST20,S,0.43164736
6,X,ST21,P,0.060471773
6,X,ST23,P,-0.021779299
6,X,ST24,S,0.18061078
6,X,ST26,P,-0.04643956
6,X,ST26,S,0.17604864
7,X,ST10,P,-0.2433806
7,X,ST11,P,-0.2036804
7,X,ST12,P,-0.15506017
7,X,ST13,S,-0.017998457
7,X,ST14,P,-0.11585906
7,X,ST15,P,-0.13623494
7,X,ST16,P,-0.09927076
7,X,ST17,P,0.16567719
7,X,ST17,S,0.23246199
7,X,ST20,S,0.43652466
7,X,ST21,P,0.089886665
7,X,ST21,S,0.43511963
7,X,ST22,P,0.08456582
7,X,ST22,S,0.33101678
7,X,ST23,P,-0.008596778
7,X,ST23,S,0.25947627
7,X,ST24,P,-0.14630455
7,X,ST25,P,0.006090313
7,X,ST25,S,0.3123649
7,X,ST26,P,-0.20174202
8,X,ST11,P,-0.25264972
8,X,ST11,S,0.012685835
8,X,ST13,P,-0.13936362
8,X,ST14,P,-0.06880084
8,X,ST14,S,-0.21864575
8,X,ST15,P,-0.25707173
8,X,ST16,P,-0.1536377
8,X,ST16,S,-0.13180977
8,X,ST17,P,0.12309241
8,X,ST17,S,0.040581644
8,X,ST18,P,-0.2519794
8,X,ST18,S,-0.13986361
8,X,ST19,S,-0.06830022
8,X,ST20,P,0.3230152
8,X,ST20,S,0.37400532
8,X,ST21,P,0.085556805
8,X,ST21,S,0.48476392
8,X,ST22,S,0.18590155
8,X,ST23,P,-0.07525107
8,X,ST23,S,0.25506127
8,X,ST24,P,0.030124664
8,X,ST25,P,-0.095718324
8,X,ST25,S,0.28820115
8,X,ST26,P,-0.03278765
9,X,ST10,P,-0.23240739
9,X,ST10,S,-0.083078265
9,X,ST11,S,0.07012874
9,X,ST12,P,-0.07951301
9,X,ST13,P,-0.22123328
