evid,network,station,phase,residual
1,X,ST10,P,-0.23010224
1,X,ST11,P,-0.247527
1,X,ST11,S,0.075077
1,X,ST12,P,-0.07961291
1,X,ST12,S,0.12625837
1,X,ST13,P,-0.21574533
1,X,ST15,S,0.051609993
1,X,ST16,P,-0.31424066
1,X,ST16,S,-0.08984944
1,X,ST18,S,-0.00068473816
1,X,ST19,P,-0.18682772
1,X,ST20,P,0.08306689
1,X,ST21,P,0.17606837
1,X,ST22,P,-0.062068343
1,X,ST23,S,0.33256412
1,X,ST24,P,-0.07616317
1,X,ST25,P,0.014731377
1,X,ST26,P,-0.09920654
2,X,ST11,S,0.008949339
2,X,ST12,P,0.010880053
2,X,ST12,S,0.14506787
2,X,ST13,P,-0.14051828
2,X,ST14,P,-0.07034758
2,X,ST15,P,-0.25061136
2,X,ST15,S,0.0101953745
2,X,ST16,P,-0.16831928
2,X,ST16,S,-0.12687027
2,X,ST18,S,-0.13704902
2,X,ST20,P,0.3137139
2,X,ST20,S,0.35810992
2,X,ST21,P,0.09673619
2,X,ST21,S,0.48851156
2,X,ST22,P,0.06256729
2,X,ST22,S,0.17859444
2,X,ST23,P,-0.06454423
2,X,ST23,S,0.25895488
2,X,ST26,S,0.02679199
3,X,ST10,P,-0.13723361
3,X,ST11,S,0.06525168
3,X,ST14,P,-0.2156426
3,X,ST18,P,-0.19662166
3,X,ST18,S,-0.00068473816
3,X,ST19,P,-0.15207976
3,X,ST20,P,0.02228672
3,X,ST20,S,0.24184358
3,X,ST21,P,0.17630717
3,X,ST21,S,0.5029956
3,X,ST22,P,-0.009208798
3,X,ST22,S,0.1453774
3,X,ST23,P,0.022475421
3,X,ST24,P,-0.11028069
3,X,ST25,P,0.019967824
3,X,ST25,S,0.38712636
3,X,ST26,P,-0.07544866
4,X,ST10,P,-0.13755822
4,X,ST11,P,-0.2521401
4,X,ST12,P,-0.003293097
4,X,ST12,S,0.13376683
4,X,ST13,P,-0.19245127
4,X,ST13,S,-0.060313046
4,X,ST14,P,-0.2156426
4,X,ST14,S,-0.16036063
4,X,ST15,S,0.05768788
4,X,ST16,P,-0.23269925
4,X,ST18,P,-0.19662166
4,X,ST19,P,-0.15078467
4,X,ST19,S,0.047691405
4,X,ST20,P,0.022024639
4,X,ST20,S,0.24184358
4,X,ST21,P,0.17516679
4,X,ST22,P,-0.009395838
4,X,ST23,P,0.02119273
4,X,ST24,P,-0.11028069
4,X,ST25,S,0.38712636
4,X,ST26,P,-0.07544866
5,X,ST12,P,-0.003293097
5,X,ST12,S,0.13373157
5,X,ST13,P,-0.19245127
5,X,ST14,P,-0.2119728
5,X,ST14,S,-0.16036063
5,X,ST15,P,-0.19932759
5,X,ST17,P,-0.08936268
5,X,ST18,P,-0.19479823
5,X,ST18,S,-0.00068473816
5,X,ST19,P,-0.15078467
5,X,ST20,P,0.01679898
5,X,ST20,S,0.24184358
5,X,ST21,S,0.5029956
5,X,ST22,P,-0.020120084
5,X,ST23,P,0.015334189
5,X,ST24,P,-0.114214
5,X,ST26,P,-0.0792726
6,X,ST10,P,-0.32376832
6,X,ST11,S,-0.21408796
6,X,ST12,P,-0.13719356
6,X,ST12,S,-0.03309819
6,X,ST13,P,-0.20118693
6,X,ST13,S,-0.038979292
6,X,ST14,P,-0.24574009
6,X,ST15,S,-0.0023791492
6,X,ST16,S,0.009673893
6,X,ST17,P,0.013252735
6,X,ST18,P,-0.20709446
6,X,ST18,S,-0.058652043
6,X,ST19,P,-0.21345598
6,X,ST19,S,-0.086343855
6,X,ST20,P,0.1351667
6,X,ST20,S,0.4372508
6,X,ST21,P,0.06442952
6,X,ST23,P,-0.023718476
6,X,ST24,S,0.18243515
6,X,ST26,P,-0.04411927
6,X,ST26,S,0.16964674
7,X,ST10,P,-0.24772304
7,X,ST11,P,-0.20623267
7,X,ST12,P,-0.15431249
7,X,ST13,S,-0.020249128
7,X,ST14,P,-0.11147609
7,X,ST15,P,-0.13531363
7,X,ST16,P,-0.09432405
7,X,ST17,P,0.17081904
7,X,ST17,S,0.23524648
7,X,ST20,S,0.44211414
7,X,ST21,P,0.09992385
7,X,ST21,S,0.4368292
7,X,ST22,P,0.08785677
7,X,ST22,S,0.34506893
7,X,ST23,P,0.00085133314
7,X,ST23,S,0.25761113
7,X,ST24,P,-0.1399622
7,X,ST25,P,0.010351479
7,X,ST25,S,0.30873606
7,X,ST26,P,-0.19389674
8,X,ST11,P,-0.2491023
8,X,ST11,S,0.021057367
8,X,ST13,P,-0.14343783
8,X,ST14,P,-0.07257739
8,X,ST14,S,-0.20954394
8,X,ST15,P,-0.2501865
8,X,ST16,P,-0.16370124
8,X,ST16,S,-0.12687027
8,X,ST17,P,0.108359575
8,X,ST17,S,0.0424245
8,X,ST18,P,-0.24398583
8,X,ST18,S,-0.12073505
8,X,ST19,S,-0.054422826
8,X,ST20,P,0.29779607
8,X,ST20,S,0.3560437
8,X,ST21,P,0.09819037
8,X,ST21,S,0.4875226
8,X,ST22,S,0.17438152
8,X,ST23,P,-0.06371614
8,X,ST23,S,0.2631904
8,X,ST24,P,0.021229684
8,X,ST25,P,-0.08165926
8,X,ST25,S,0.30263996
8,X,ST26,P,-0.03553745
9,X,ST10,P,-0.22275335
9,X,ST10,S,-0.07568455
9,X,ST11,S,0.0744583
9,X,ST12,P,-0.07433301
9,X,ST13,P,-0.21733484
9,X,ST15,P,-0.2336604
9,X,ST15,S,0.056880176
9,X,ST16,S,-0.09048292
9,X,ST17,P,-0.0791502
9,X,ST17,S,0.01101768
9,X,ST18,P,-0.2030055
9,X,ST19,P,-0.18093169
9,X,ST21,P,0.17733788
9,X,ST22,P,-0.05848205
9,X,ST23,P,-8.672476e-5
9,X,ST25,S,0.38712636
9,X,ST26,P,-0.09956363
9,X,ST26,S,0.056785017
10,X,ST11,P,-0.30952042
10,X,ST12,P,-0.13853216
10,X,ST13,S,-0.032437384
10,X,ST15,P,-0.2218225
10,X,ST16,P,-0.12397754
10,X,ST17,P,0.048309386
10,X,ST17,S,0.23524648
10,X,ST18,P,-0.31027126
10,X,ST20,S,0.44078815
10,X,ST21,S,0.44064838
10,X,ST23,P,-0.040474474
10,X,ST24,P,0.002649486
10,X,ST24,S,0.1940316
10,X,ST25,S,0.32522896
10,X,ST26,P,-0.020552546
11,X,ST10,S,-0.07568455
11,X,ST11,P,-0.24862492
11,X,ST11,S,0.0744583
11,X,ST13,P,-0.21499422
11,X,ST14,S,-0.16036063
11,X,ST15,S,0.056880176
11,X,ST16,S,-0.096366525
11,X,ST17,P,-0.08236152
11,X,ST17,S,0.01101768
11,X,ST18,P,-0.19683602
11,X,ST19,S,0.035134107
11,X,ST20,P,0.070762165
11,X,ST20,S,0.24184358
11,X,ST21,S,0.49547368
11,X,ST22,P,-0.053263605
11,X,ST23,P,-0.00093859434
11,X,ST24,P,-0.07828456
11,X,ST24,S,0.042473614
11,X,ST25,P,0.026110262
11,X,ST25,S,0.38712636
11,X,ST26,P,-0.10213199
12,X,ST10,P,-0.23379958
12,X,ST11,P,-0.29186684
12,X,ST11,S,-0.2161406
12,X,ST12,P,-0.13440144
12,X,ST13,P,-0.1367583
12,X,ST16,S,0.012218833
12,X,ST17,P,0.011072099
12,X,ST18,S,-0.120391905
12,X,ST19,P,-0.22015715
12,X,ST19,S,-0.09049991
12,X,ST20,P,0.1768015
12,X,ST21,S,0.43348128
12,X,ST22,P,0.12638646
12,X,ST23,S,0.2290543
12,X,ST24,P,0.0022459626
12,X,ST24,S,0.19265807
12,X,ST25,P,0.031128913
12,X,ST25,S,0.3131065
12,X,ST26,P,-0.01754716
13,X,ST12,P,-0.03884703
13,X,ST12,S,0.12625837
13,X,ST13,P,-0.2040267
13,X,ST14,P,-0.18046495
13,X,ST16,P,-0.281415
13,X,ST16,S,-0.123384655
13,X,ST17,P,-0.10624117
13,X,ST17,S,0.01101768
13,X,ST18,P,-0.20431453
13,X,ST19,P,-0.18511522
13,X,ST21,P,0.18836129
13,X,ST21,S,0.4970662
13,X,ST22,P,-0.05642152
13,X,ST23,P,0.0016530156
13,X,ST23,S,0.33256412
13,X,ST24,P,-0.10438371
13,X,ST24,S,0.04606217
13,X,ST25,S,0.38712636
14,X,ST10,P,-0.3143401
14,X,ST13,S,-0.0008723736
14,X,ST14,S,-0.055881023
14,X,ST15,P,-0.1804229
14,X,ST15,S,0.017262578
14,X,ST16,P,-0.0955441
14,X,ST17,P,0.11946595
14,X,ST18,P,-0.25036725
14,X,ST19,S,-0.070483774
14,X,ST20,P,0.10794231
14,X,ST21,P,0.11116612
14,X,ST21,S,0.3946414
14,X,ST22,S,0.34085095
