evid,network,station,phase,residual
1,X,ST10,P,-0.15521222
1,X,ST11,P,-0.21592355
1,X,ST11,S,0.08574587
1,X,ST12,P,-0.035619974
1,X,ST12,S,0.09763032
1,X,ST13,P,-0.18246567
1,X,ST15,S,0.05936539
1,X,ST16,P,-0.25505173
1,X,ST16,S,-0.075000584
1,X,ST18,S,0.014579117
1,X,ST19,P,-0.15013939
1,X,ST20,P,0.03242714
1,X,ST21,P,0.19454122
1,X,ST22,P,-0.051811993
1,X,ST23,S,0.33567488
1,X,ST24,P,-0.07064545
1,X,ST25,P,0.039190263
1,X,ST26,P,-0.06657508
2,X,ST11,S,0.06536889
2,X,ST12,P,-0.015835166
2,X,ST12,S,0.10059732
2,X,ST13,P,-0.15493855
2,X,ST14,P,-0.1231263
2,X,ST15,P,-0.19577122
2,X,ST15,S,0.043005228
2,X,ST16,P,-0.21175116
2,X,ST16,S,-0.0917269
2,X,ST18,S,-0.020356
2,X,ST20,P,0.10030425
2,X,ST20,S,0.2404767
2,X,ST21,P,0.17221546
2,X,ST21,S,0.49266446
2,X,ST22,P,-0.015625954
2,X,ST22,S,0.14493492
2,X,ST23,P,0.011778057
2,X,ST23,S,0.31748462
2,X,ST26,S,0.08628881
3,X,ST10,P,-0.12620759
3,X,ST11,S,0.07891554
3,X,ST14,P,-0.18332955
3,X,ST18,P,-0.18141603
3,X,ST18,S,0.014579117
3,X,ST19,P,-0.13951665
3,X,ST20,P,0.016555078
3,X,ST20,S,0.20529753
3,X,ST21,P,0.19130722
3,X,ST21,S,0.49097526
3,X,ST22,P,-0.024092495
3,X,ST22,S,0.13783264
3,X,ST23,P,0.03036505
3,X,ST24,P,-0.083874345
3,X,ST25,P,0.042580217
3,X,ST25,S,0.38598707
3,X,ST26,P,-0.0533171
4,X,ST10,P,-0.1265322
4,X,ST11,P,-0.2195456
4,X,ST12,P,-0.009378791
4,X,ST12,S,0.09940845
4,X,ST13,P,-0.1722605
4,X,ST13,S,-0.04036975
4,X,ST14,P,-0.18332955
4,X,ST14,S,-0.12292898
4,X,ST15,S,0.06272006
4,X,ST16,P,-0.21989435
4,X,ST18,P,-0.18141603
4,X,ST19,P,-0.13822156
4,X,ST19,S,0.05947134
4,X,ST20,P,0.016714163
4,X,ST20,S,0.20529753
4,X,ST21,P,0.19016683
4,X,ST22,P,-0.024092495
4,X,ST23,P,0.030317843
4,X,ST24,P,-0.083874345
4,X,ST25,S,0.38598707
4,X,ST26,P,-0.0533171
5,X,ST12,P,-0.009378791
5,X,ST12,S,0.09937319
5,X,ST13,P,-0.1722605
5,X,ST14,P,-0.17965975
5,X,ST14,S,-0.12292898
5,X,ST15,P,-0.18446016
5,X,ST17,P,-0.062693655
5,X,ST18,P,-0.17959261
5,X,ST18,S,0.014579117
5,X,ST19,P,-0.13822156
5,X,ST20,P,0.015275665
5,X,ST20,S,0.20529753
5,X,ST21,S,0.49097526
5,X,ST22,P,-0.027982473
5,X,ST23,P,0.028725564
5,X,ST24,P,-0.083589435
5,X,ST26,P,-0.05230543
6,X,ST10,P,-0.25558245
6,X,ST11,S,-0.15061373
6,X,ST12,P,-0.08078694
6,X,ST12,S,-0.007077813
6,X,ST13,P,-0.18157789
6,X,ST13,S,-0.04155326
6,X,ST14,P,-0.1884636
6,X,ST15,S,0.0008710027
6,X,ST16,S,0.018883884
6,X,ST17,P,0.050812423
6,X,ST18,P,-0.1930371
6,X,ST18,S,-0.062009513
6,X,ST19,P,-0.2142824
6,X,ST19,S,-0.09112552
6,X,ST20,P,0.18306142
6,X,ST20,S,0.44329208
6,X,ST21,P,0.09832102
6,X,ST23,P,-0.019815266
6,X,ST24,S,0.17017287
6,X,ST26,P,-0.031912237
6,X,ST26,S,0.14631474
7,X,ST10,P,-0.25251114
7,X,ST11,P,-0.25289273
7,X,ST12,P,-0.1232059
7,X,ST13,S,-0.036492944
