lonR,latR,depR
-117.71201,35.89504,7.865
-117.72141,35.91649,4.837
-117.52406,35.68936,7.606
-117.67373,35.98445,2.555
-117.50896,35.6803,8.193
-117.71133,35.92319,6.736
-117.84989,36.02552,3.389
-117.68552,35.91335,3.979
-117.68435,35.90471,3.305
-117.47726,35.65908,5.951
-117.68395,35.90487,3.266
-117.53115,35.65975,8.785
-117.45226,35.64346,2.124
-117.65828,35.90964,3.731
-117.58205,35.60565,4.513
-117.70428,35.92322,4.889
-117.71548,35.92083,3.93
-117.56482,35.73962,4.012
-117.67927,35.89779,4.388
-117.66024,35.83926,4.713
-117.86721,36.02397,2.976
-117.53251,35.66806,8.08
-117.59383,35.6028,3.663
-117.7266,35.88946,6.866
-117.42925,35.62466,3.558
-117.54456,35.71844,6.047
-117.72618,35.91477,6.964
-117.51983,35.65295,9.378
-117.70308,35.87829,5.122
-117.57953,35.75964,6.906
-117.68835,35.95546,4.034
-117.51946,35.67091,8.656
-117.4318,35.62543,7.301
-117.67218,35.88283,3.016
-117.68814,35.95534,3.982
-117.55297,35.71425,4.354
-117.71464,35.91691,5.974
-117.7204,35.92519,4.011
-117.71381,35.92457,3.781
-117.53019,35.65933,8.605
-117.70675,35.86809,5.037
-117.53936,35.6623,8.149
-117.71102,35.88092,4.324
-117.7113,35.87998,4.351
-117.44905,35.64412,2.884
-117.4495,35.64379,2.924
-117.68365,35.88528,4.542
-117.55053,35.68418,8.305
-117.71485,35.91731,5.958
-117.54961,35.74495,5.05
-117.74022,35.90697,7.776
-117.49699,35.66731,5.101
-117.51391,35.70081,8.021
-117.5604,35.74853,4.636
-117.52081,35.68991,7.589
-117.49181,35.66794,3.411
-117.68369,35.88565,3.243
-117.42918,35.59977,5.448
-117.7093,35.95558,4.206
-117.72624,35.9156,6.928
-117.86871,36.02215,2.291
-117.67384,35.96205,3.064
-117.69974,35.93871,4.219
-117.72343,35.90939,4.667
-117.52159,35.67269,8.551
-117.67671,35.8821,8.094
-117.67323,35.93272,3.609
-117.87018,36.03749,2.445
-117.6941,35.90093,5.353
-117.85792,36.05557,2.221
-117.53109,35.65989,8.773
-117.39267,35.59829,6.912
-117.6999,35.93866,4.208
-117.67568,35.96479,4.675
-117.68887,35.8746,4.903
-117.57952,35.6083,6.673
-117.43766,35.6298,3.951
-117.68985,35.88344,7.362
-117.46804,35.65314,5.117
-117.56464,35.73355,9.016
-117.72134,35.91628,3.984
-117.71579,35.89193,6.522
-117.51067,35.6691,5.508
-117.50346,35.71267,6.512
-117.39529,35.60561,6.818
-117.67392,35.96494,3.111
-117.68988,35.9142,4.884
-117.71368,35.92447,4.483
-117.47501,35.67503,6.159
-117.49178,35.64703,6.802
-117.73027,35.91433,3.542
-117.60046,35.61887,7.303
-117.52699,35.68757,7.789
-117.67994,35.90134,4.051
-117.70148,35.90354,7.568
-117.68755,35.8848,8.87
-117.70035,35.95205,6.321
-117.70466,35.87094,5.277
-117.69965,35.89713,8.171
-117.45924,35.65021,6.706
-117.44497,35.62341,6.563
-117.69515,35.93678,3.623
-117.50787,35.70621,8.578
-117.43062,35.62401,4.123
-117.71293,35.89792,7.411
-117.51031,35.67497,8.641
-117.69956,35.89686,8.172
-117.51048,35.67699,7.473
-117.71704,35.92806,4.269
-117.67566,35.90085,4.532
-117.71253,35.93576,4.296
-117.71275,35.88395,4.743
-117.58654,35.70555,7.67
-117.72951,35.8976,7.13
-117.69818,35.86744,5.892
-117.68046,35.98632,2.208
-117.44853,35.65869,5.327
-117.46362,35.67326,7.014
-117.45776,35.64455,3.205
-117.67668,35.85581,7.478
-117.71669,35.9097,6.691
-117.517,35.68011,8.684
-117.70084,35.90772,7.859
-117.35221,35.57459,4.007
-117.70572,35.9241,4.6
-117.53933,35.65784,8.732
-117.4802,35.67442,3.402
-117.48346,35.67652,4.491
-117.71612,35.87791,4.07
-117.49665,35.66731,5.023
-117.6749,35.90502,3.129
-117.43382,35.63757,4.635
-117.39461,35.60022,7.154
-117.58601,35.61037,5.092
-117.86414,36.04682,1.116
-117.50442,35.70342,6.532
-117.68477,35.89536,4.226
-117.50427,35.70355,6.545
-117.86917,36.02458,1.744
-117.57209,35.75762,7.66
-117.67164,35.97426,3.11
-117.85418,36.055,3.421
-117.70658,35.88318,4.595
-117.70888,35.87435,4.378
-117.68897,35.88206,7.138
-117.68279,35.88867,4.169
-117.68339,35.88853,4.657
-117.67733,35.93518,3.409
-117.50517,35.67618,5.18
-117.5228,35.69273,7.983
-117.7039,35.92305,6.231
-117.69956,35.95385,4.623
-117.58648,35.7057,7.697
-117.7044,35.86651,4.882
-117.52176,35.66551,8.956
-117.84532,36.04895,3.638
-117.39098,35.60485,7.085
-117.49948,35.64443,5.982
-117.52668,35.66822,9.026
-117.69894,35.91498,4.656
-117.64517,35.82346,4.012
-117.69509,35.91682,4.399
-117.51085,35.69898,7.722
-117.71142,35.87802,4.2
-117.71048,35.87716,4.269
-117.70941,35.87603,4.408
-117.58228,35.76657,7.08
-117.7112,35.87637,4.17
-117.67842,35.88527,3.66
-117.50628,35.70183,6.631
-117.53506,35.65937,8.268
-117.55788,35.7116,5.432
-117.75372,35.9055,6.432
-117.69719,35.90801,5.406
-117.47616,35.67959,7.436
-117.6489,35.82601,4.142
-117.69734,35.90788,7.619
-117.50828,35.66389,4.576
-117.66126,35.82696,5.114
-117.36161,35.57901,4.722
-117.55738,35.72979,8.664
-117.73687,35.89589,7.187
-117.70003,35.90914,5.07
-117.58608,35.70611,7.579
-117.84141,36.0455,2.704
-117.46833,35.65444,6.6
-117.48401,35.65868,4.134
-117.70674,35.88024,4.871
-117.43988,35.64116,4.651
-117.67214,35.90177,3.677
-117.70905,35.93245,4.471
-117.69269,35.9115,4.981
-117.66859,35.87388,8.966
-117.5083,35.70777,7.431
-117.69787,35.92412,4.458
-117.72988,35.9081,4.242
-117.86471,36.02499,2.994
-117.45011,35.64234,5.276
-117.71896,35.89537,6.588
-117.69068,35.90659,4.951
-117.70552,35.92499,4.612
-117.52291,35.65633,9.697
-117.70531,35.89818,7.87
-117.48227,35.68117,6.789
-117.70418,35.89823,8.0
-117.59644,35.61546,7.943
-117.69991,35.87257,7.424
-117.43166,35.62563,4.087
-117.7058,35.8962,7.467
-117.47361,35.6689,5.351
-117.5604,35.72565,8.105
-117.72655,35.90292,4.493
-117.70023,35.93819,4.234
-117.52018,35.69131,7.822
-117.84493,36.04932,3.644
-117.5218,35.67362,8.643
-117.57885,35.77551,5.938
-117.71447,35.92502,4.439
-117.72883,35.89452,6.172
-117.71474,35.92464,4.333
-117.72181,35.92168,4.047
-117.5441,35.73063,7.255
-117.466,35.60526,4.655
-117.73019,35.91705,4.23
-117.69114,35.89383,4.792
-117.43512,35.60595,5.984
-117.53609,35.73552,7.237
-117.48043,35.65172,2.519
-117.58935,35.59402,5.443
-117.68813,35.89247,4.317
-117.70092,35.9164,5.061
-117.68163,35.88686,3.569
-117.48143,35.66952,0.426
-117.68919,35.87995,4.554
-117.53832,35.68126,9.325
-117.41958,35.58759,3.633
-117.69196,35.90793,4.239
-117.55067,35.71979,5.729
-117.6976,35.87953,6.92
-117.71579,35.89989,8.207
-117.70858,35.93245,4.557
-117.68184,35.88817,6.156
-117.57407,35.75727,7.784
-117.43784,35.64258,6.286
-117.86124,36.02741,1.727
-117.44778,35.6518,3.709
-117.72948,35.89417,6.366
-117.8601,36.02783,3.005
-117.70728,35.8787,4.668
-117.58678,35.70543,7.756
-117.84718,36.02614,3.117
-117.68356,35.86871,7.284
-117.52967,35.70261,9.02
-117.69553,35.96286,5.821
-117.72034,35.92132,4.316
-117.47545,35.66653,6.399
-117.72372,35.89067,7.181
-117.73554,35.89814,7.028
-117.53668,35.70855,7.29
-117.69923,35.88302,5.82
-117.69409,35.9192,3.866
-117.48309,35.66618,0.885
-117.48589,35.679,0.796
-117.66083,35.82904,4.292
-117.6918,35.91703,4.543
-117.4692,35.67446,6.794
-117.50026,35.65533,4.988
-117.44282,35.64355,3.274
-117.47618,35.66705,6.55
-117.69388,35.87262,8.195
-117.48946,35.67999,6.12
-117.72332,35.91274,4.664
-117.69117,35.89538,4.77
-117.71692,35.9088,4.163
-117.49846,35.65586,5.908
-117.69129,35.89528,4.781
-117.69001,35.86985,8.215
-117.67833,35.96591,3.047
-117.46237,35.60689,5.085
-117.50453,35.7027,7.264
-117.56313,35.71801,8.179
-117.73049,35.89691,6.169
-117.51606,35.71382,7.041
-117.73705,35.91877,3.738
-117.84595,36.0273,4.217
-117.69201,35.90618,4.386
-117.51174,35.67968,8.775
-117.71373,35.91486,6.148
-117.49359,35.6477,6.421
-117.46069,35.65019,3.358
-117.71367,35.91522,6.132
-117.55511,35.71677,5.503
-117.52367,35.68897,8.866
-117.67187,35.88298,3.367
-117.46502,35.61465,4.299
-117.4952,35.66481,1.685
-117.522,35.69281,7.928
-117.46534,35.65122,6.936
-117.7193,35.90048,8.122
-117.49599,35.64213,5.475
-117.69718,35.88323,7.213
-117.85222,36.02296,2.883
-117.66756,35.895,3.818
-117.71105,35.89722,8.205
-117.5815,35.77128,9.089
-117.72655,35.89228,6.557
-117.72614,35.89237,6.556
-117.51889,35.66741,8.118
-117.43976,35.60898,4.166
-117.36455,35.57623,4.702
-117.68879,35.89372,4.143
-117.66068,35.97926,1.265
-117.67429,35.8897,4.35
-117.68621,35.88259,4.116
-117.8532,36.02272,3.459
-117.84446,36.02949,3.397
-117.67476,35.87677,6.604
-117.69778,35.91161,4.328
-117.70114,35.89484,6.119
-117.57406,35.74529,4.057
-117.58463,35.76623,6.919
-117.71091,35.9151,3.675
-117.70557,35.92518,4.251
-117.70192,35.89459,6.358
-117.6845,35.8702,7.269
-117.84841,36.02594,0.484
-117.71115,35.88784,4.921
-117.51321,35.67651,8.2
-117.6884,35.95442,4.096
-117.69464,35.92274,4.617
-117.51628,35.66177,8.88
-117.51643,35.70174,8.088
-117.55927,35.71672,6.111
-117.69937,35.89545,6.189
-117.70368,35.87222,8.384
-117.48465,35.67694,6.421
-117.71792,35.91532,4.049
-117.66496,35.97324,3.598
-117.49314,35.66356,4.265
-117.55033,35.74202,7.751
-117.73126,35.891,6.051
-117.6647,35.97365,3.471
-117.56019,35.75087,8.337
-117.67928,35.88606,7.366
-117.51913,35.6706,9.164
-117.69382,35.89379,6.682
-117.73114,35.92891,3.859
-117.84762,36.0258,1.807
-117.43646,35.62966,7.279
-117.85728,36.02911,3.148
-117.49679,35.65562,6.737
-117.57092,35.7691,6.419
-117.70157,35.86783,4.62
-117.72675,35.91524,5.571
-117.71447,35.9258,4.117
-117.56771,35.75404,7.357
-117.72411,35.89746,5.85
-117.69242,35.9188,4.514
-117.48633,35.69491,6.496
-117.71108,35.93781,4.102
-117.71508,35.8944,6.323
-117.50594,35.66062,5.359
-117.4853,35.67705,0.942
-117.73101,35.91738,4.216
-117.71402,35.9193,3.911
-117.71619,35.91836,4.272
-117.4944,35.66238,4.941
-117.67329,35.90784,3.8
-117.67329,35.90784,3.783
-117.49298,35.64454,6.621
-117.68868,35.92,4.491
-117.85796,36.03002,2.956
-117.69927,35.90632,5.385
-117.84693,36.06038,3.41
-117.49329,35.71158,4.79
-117.67686,35.89101,4.415
-117.45055,35.63985,4.626
-117.5689,35.722,8.602
-117.71404,35.92399,4.34
-117.54588,35.71325,5.281
-117.85388,36.05519,3.314
-117.70686,35.92703,4.208
-117.85093,36.03156,2.712
-117.7001,35.86583,5.358
-117.50505,35.67793,5.283
-117.68125,35.96145,3.179
-117.51917,35.69255,7.542
-117.66197,35.97263,3.757
-117.45318,35.60977,4.748
-117.69804,35.89791,7.196
-117.52508,35.7043,9.067
-117.71672,35.9532,4.151
-117.69431,35.88779,3.579
-117.71688,35.95304,3.925
-117.56439,35.75952,5.09
-117.58462,35.61156,6.905
-117.57403,35.75801,7.805
-117.71068,35.93449,4.224
-117.35136,35.57458,4.816
-117.69109,35.88474,6.729
-117.70387,35.88682,7.744
-117.84461,36.0493,3.344
-117.50307,35.67761,4.547
-117.7153,35.92436,4.022
-117.84463,36.05664,3.033
-117.71374,35.9271,3.029
-117.68762,35.86335,8.221
-117.35058,35.56778,3.433
-117.41893,35.58776,5.196
-117.68925,35.86954,8.003
-117.6933,35.87282,8.522
-117.6833,35.91429,4.55
-117.71089,35.92969,4.013
-117.71197,35.91884,4.652
-117.6836,35.90254,3.985
-117.51894,35.68907,7.697
-117.7279,35.91791,3.492
-117.5521,35.72305,5.44
-117.48623,35.67667,2.911
-117.66223,35.82739,5.296
-117.48549,35.67702,3.509
-117.4437,35.62357,6.821
-117.50446,35.66802,6.004
-117.86372,36.04442,1.185
-117.44965,35.64368,2.947
-117.68074,35.88317,5.184
-117.84583,36.05495,3.517
-117.69081,35.89063,4.459
-117.69357,35.94088,3.877
-117.50629,35.67552,4.923
-117.44288,35.6142,4.821
-117.55645,35.7194,6.59
-117.48444,35.67683,3.839
-117.45264,35.63956,3.913
-117.53565,35.69605,8.245
-117.70778,35.92464,6.982
-117.51364,35.67011,8.358
-117.70734,35.957,4.259
-117.7084,35.87567,4.229
-117.84927,36.02554,1.422
-117.68754,35.88398,5.138
-117.42252,35.59508,6.517
-117.59679,35.6137,7.9
-117.69436,35.88374,8.191
-117.66044,35.82654,5.071
-117.58854,35.70197,7.517
-117.5251,35.70407,9.113
-117.50097,35.6503,5.443
-117.46735,35.67136,5.621
-117.40325,35.60286,6.797
-117.86815,36.02407,2.386
-117.67884,35.88003,5.268
-117.35191,35.57445,2.961
-117.69643,35.91864,4.424
-117.51695,35.68005,8.688
-117.7052,35.91445,6.212
-117.67868,35.88258,5.156
-117.66259,35.97457,3.867
-117.55796,35.71747,6.401
-117.51491,35.69655,9.112
-117.66106,35.82754,5.212
-117.70716,35.92689,4.264
-117.48359,35.6818,6.829
-117.49206,35.64656,6.965
-117.56372,35.72766,9.471
-117.71712,35.92667,3.816
-117.68331,35.88702,7.315
-117.67833,35.89976,4.173
-117.84512,36.03012,3.319
-117.47281,35.68083,6.295
-117.47512,35.6688,5.073
-117.47797,35.65913,7.041
-117.44715,35.63716,4.622
-117.69727,35.90824,5.38
-117.66258,35.97436,3.814
-117.42177,35.58963,5.381
-117.68227,35.8769,7.849
-117.69897,35.90663,5.349
-117.57091,35.72182,8.868
-117.85187,36.03176,3.326
-117.85322,36.03175,3.861
-117.69343,35.91447,4.472
-117.69517,35.90022,6.157
-117.58409,35.70693,7.909
-117.6742,35.88881,7.633
-117.68019,35.98484,1.166
-117.84606,36.04985,2.58
-117.68017,35.96634,0.789
-117.67033,35.98535,3.152
-117.55935,35.71717,5.639
-117.68497,35.89692,7.901
-117.68035,35.96581,0.827
-117.68941,35.88452,7.284
-117.68949,35.88456,7.226
-117.49861,35.70874,6.972
-117.6814,35.91997,4.004
-117.444,35.62254,6.373
-117.69527,35.93648,3.554
-117.47118,35.66976,4.658
-117.70001,35.86607,5.371
-117.85274,36.04968,2.707
-117.68223,35.88271,7.365
-117.65784,35.91002,3.85
-117.69268,35.91195,4.873
-117.46273,35.64689,2.458
-117.69985,35.90916,4.998
-117.65058,35.82762,4.732
-117.71031,35.87444,4.198
-117.51962,35.65165,9.705
-117.39599,35.60301,7.439
-117.68577,35.87654,7.453
-117.70942,35.8756,4.221
-117.53188,35.68281,9.139
-117.6826,35.87745,7.786
-117.48059,35.66107,5.609
-117.8689,36.03644,2.951
-117.86871,36.03673,2.941
-117.56139,35.71134,5.146
-117.66316,35.97182,3.187
-117.71587,35.9225,4.332
-117.6768,35.9829,2.161
-117.67618,35.98303,2.122
-117.46773,35.65042,5.862
-117.47672,35.66719,6.517
-117.52614,35.7041,9.164
-117.46509,35.60614,4.672
-117.52981,35.66055,9.001
-117.45645,35.62929,4.327
-117.67736,35.89099,4.44
-117.84437,36.04975,3.801
-117.67909,35.88253,5.105
-117.67757,35.86423,7.972
-117.67896,35.88286,4.94
-117.69976,35.86951,6.299
-117.58502,35.70607,7.869
-117.6882,35.91985,4.437
-117.71422,35.8807,4.254
-117.72802,35.90428,4.638
-117.71401,35.88065,4.553
-117.69554,35.93667,3.674
-117.68023,35.89953,3.993
-117.53982,35.70881,8.399
-117.7087,35.87421,3.899
-117.72895,35.9001,7.427
-117.68024,35.90265,3.98
-117.67998,35.89996,3.876
-117.70966,35.87529,4.119
-117.5598,35.72044,7.318
-117.65684,35.83749,3.989
-117.469,35.64919,5.941
-117.84883,36.05484,3.357
-117.55104,35.68315,9.121
-117.86159,36.02708,2.399
-117.73214,35.91719,5.155
-117.51343,35.70347,8.52
-117.67656,35.90065,3.422
-117.84858,36.05264,1.417
-117.70797,35.95713,4.231
-117.84522,36.0156,3.418
-117.86808,36.04158,2.767
-117.66204,35.97244,3.926
-117.67931,35.88608,7.285
-117.86295,36.02641,2.99
-117.69658,35.88635,3.724
-117.69455,35.91629,4.578
-117.44373,35.61894,5.028
-117.67981,35.90119,4.059
-117.53128,35.65976,8.83
-117.7042,35.92325,4.893
-117.70462,35.92539,4.801
-117.58795,35.70222,7.312
-117.69417,35.91702,4.578
-117.68252,35.88974,5.16
-117.84609,36.0586,3.546
-117.84429,36.04994,3.525
-117.50346,35.66503,6.453
-117.51744,35.6736,8.555
-117.66372,35.82832,5.734
-117.53148,35.65974,8.818
-117.47724,35.67136,6.05
-117.67341,35.98473,2.453
-117.58081,35.60329,4.288
-117.71595,35.87996,3.884
-117.67549,35.88885,3.843
-117.53114,35.71587,5.829
-117.51501,35.67405,8.045
-117.86107,36.02721,3.143
-117.43602,35.60685,4.696
-117.84551,36.02741,3.727
-117.68426,35.88729,5.541
-117.71046,35.87289,4.948
-117.85005,36.0319,3.223
-117.73374,35.91838,3.787
-117.70535,35.89309,6.974
-117.54103,35.73294,6.353
-117.44494,35.61224,6.044
-117.43131,35.62655,7.255
-117.52035,35.65431,9.355
-117.44438,35.61259,6.001
-117.50026,35.65587,4.84
-117.69285,35.88115,7.5
-117.66437,35.82911,5.12
-117.86891,36.02195,2.237
-117.70992,35.88233,4.265
-117.69424,35.94163,3.771
-117.67938,35.98625,1.513
-117.449,35.64415,2.889
-117.47859,35.66033,5.35
-117.84587,36.04792,3.201
-117.70794,35.92408,4.5
-117.70931,35.92274,6.817
-117.68516,35.88671,3.505
-117.44929,35.64418,2.593
-117.7278,35.9206,4.03
-117.57879,35.61494,6.413
-117.69941,35.93908,4.079
-117.69912,35.93914,4.283
-117.68277,35.87698,7.78
-117.7112,35.91731,4.348
-117.85156,36.03065,3.259
-117.72093,35.89818,5.216
-117.68296,35.88552,3.545
-117.49498,35.66294,4.535
-117.59697,35.6009,4.796
-117.69274,35.88171,7.175
-117.43352,35.60338,6.184
-117.34353,35.57235,3.071
-117.5158,35.66692,7.527
-117.68943,35.88372,7.361
-117.69425,35.92096,4.539
-117.67683,35.88239,8.115
-117.67603,35.89172,4.806
-117.68436,35.90612,3.409
-117.70738,35.92323,3.554
-117.43127,35.63158,4.956
-117.43164,35.63167,4.896
-117.5639,35.7401,4.15
-117.86446,36.02505,2.918
-117.46787,35.64997,5.932
-117.57362,35.77648,9.443
-117.50235,35.69353,6.33
-117.48727,35.71504,4.752
-117.8463,36.02197,3.264
-117.57827,35.70827,7.432
-117.53894,35.70149,9.04
-117.51755,35.66719,8.019
-117.67974,35.9015,4.385
-117.69432,35.92137,4.51
-117.52016,35.69131,7.825
-117.69818,35.88742,4.499
-117.53993,35.70892,8.415
-117.67205,35.9018,3.731
-117.69858,35.94056,3.736
-117.43112,35.63054,6.466
-117.85439,36.05486,3.2
-117.44919,35.64409,2.878
-117.69988,35.88973,7.066
-117.84679,36.02762,3.339
-117.69752,35.90803,5.31
-117.4284,35.62464,4.421
-117.7164,35.95188,4.251
-117.69346,35.92047,4.263
-117.71618,35.95207,3.597
-117.69015,35.91469,4.955
-117.672,35.88483,3.639
-117.51534,35.67361,8.073
-117.73637,35.90027,6.557
-117.45362,35.64751,3.824
-117.56756,35.70752,8.278
-117.68588,35.91514,4.586
-117.69796,35.95099,4.707
-117.71238,35.88419,4.769
-117.7069,35.92395,4.377
-117.68883,35.87456,4.878
-117.64695,35.82363,2.931
-117.6836,35.90375,4.528
-117.69851,35.95163,4.655
-117.69895,35.9395,4.425
-117.51077,35.69888,6.575
-117.48063,35.67168,2.88
-117.53724,35.734,7.107
-117.48162,35.67492,3.315
-117.48541,35.67613,3.931
-117.50426,35.66756,6.429
-117.69291,35.92011,4.871
-117.86782,36.04223,2.685
-117.67813,35.97605,2.618
-117.48611,35.65801,3.901
-117.69241,35.92141,4.923
-117.84646,36.0516,3.195
-117.53484,35.70911,4.599
-117.70369,35.868,5.174
-117.68877,35.87437,4.916
-117.48082,35.6737,5.32
-117.67435,35.88898,7.617
-117.6795,35.97294,2.775
-117.47547,35.66507,1.789
-117.48144,35.68624,7.03
-117.50627,35.70299,6.546
-117.72258,35.89839,5.006
-117.68792,35.86908,6.209
-117.66237,35.84266,3.304
-117.57155,35.75738,7.641
-117.68932,35.87915,6.728
-117.41037,35.61044,5.604
-117.40258,35.60347,6.851
-117.86004,36.02907,3.121
-117.72756,35.92142,7.267
-117.70863,35.874,4.309
-117.48768,35.66453,4.06
-117.86432,36.04831,1.091
-117.33275,35.56375,3.79
-117.51016,35.66574,5.363
-117.72065,35.91839,3.879
-117.46723,35.67998,6.171
-117.73069,35.89388,6.512
-117.67194,35.98422,2.873
-117.43248,35.62566,3.302
-117.42622,35.59531,5.161
-117.55704,35.74162,4.289
-117.43214,35.60237,6.122
-117.47186,35.66999,4.409
-117.58616,35.70564,7.718
-117.70946,35.92774,5.136
-117.70926,35.89867,8.13
-117.53446,35.6561,8.422
-117.71056,35.8969,6.964
-117.53476,35.65605,8.353
-117.67976,35.97231,3.55
-117.50341,35.70469,6.956
-117.71617,35.92727,6.553
-117.70938,35.87599,4.392
-117.7116,35.87633,4.018
-117.59347,35.61132,7.012
-117.86771,36.02447,2.158
-117.44486,35.6262,7.102
-117.70686,35.91908,4.867
-117.70941,35.87544,4.137
-117.48289,35.67631,4.651
-117.44262,35.62332,7.293
-117.66484,35.82951,5.199
-117.66087,35.82683,5.013
-117.67464,35.98107,2.458
-117.72273,35.919,4.13
-117.67954,35.88024,7.458
-117.68024,35.89585,7.506
-117.84488,36.03015,3.152
-117.45257,35.61078,4.61
-117.84607,36.05691,3.707
-117.45332,35.64587,2.622
-117.72129,35.89633,5.245
-117.71684,35.88009,3.908
-117.84526,36.02998,3.35
-117.6833,35.88791,7.354
-117.47508,35.66467,1.399
-117.84813,36.02385,4.067
-117.70881,35.89631,6.368
-117.47626,35.66409,1.347
-117.35452,35.56719,4.769
-117.69531,35.91639,4.503
-117.43094,35.62673,4.415
-117.68677,35.88488,7.568
-117.72628,35.88953,6.953
-117.69559,35.9628,5.8
-117.72728,35.9047,4.621
-117.41753,35.61341,4.462
-117.67971,35.90126,3.826
-117.48489,35.6779,3.715
-117.86435,36.02498,3.017
-117.69076,35.90682,4.93
-117.69062,35.90681,4.911
-117.68273,35.93772,3.331
-117.58681,35.70567,7.837
-117.35065,35.56749,3.328
-117.50393,35.70854,6.346
-117.42955,35.59786,6.156
-117.43193,35.6366,5.904
-117.69963,35.87225,7.499
-117.52506,35.72649,7.214
-117.69278,35.88124,7.39
-117.72202,35.91737,3.674
-117.70364,35.9099,4.676
-117.47249,35.66739,6.912
-117.47463,35.66781,4.919
-117.70636,35.89992,7.747
-117.68109,35.90188,4.019
-117.67948,35.88503,4.466
-117.72893,35.9196,4.339
-117.68028,35.90273,3.94
-117.48819,35.6637,3.336
-117.67542,35.98712,2.568
-117.4168,35.58502,5.445
-117.69126,35.89437,4.774
-117.4075,35.57851,5.4
-117.5048,35.70776,8.651
-117.49918,35.7086,7.027
-117.53122,35.7,8.867
-117.67954,35.98636,1.755
-117.69764,35.92229,4.394
-117.3954,35.59957,7.108
-117.69416,35.93075,4.408
-117.59164,35.6996,7.587
-117.42844,35.63295,4.918
-117.42795,35.63244,5.057
-117.73671,35.91424,5.696
-117.4814,35.67137,5.715
-117.46819,35.65135,5.577
-117.66069,35.9793,1.46
-117.36012,35.57715,4.677
-117.48968,35.65253,3.477
-117.57268,35.75753,7.614
-117.43901,35.60831,6.095
-117.65771,35.83704,3.949
-117.47979,35.67436,5.299
-117.69272,35.93625,4.354
-117.84572,36.0301,3.238
-117.73467,35.91927,4.691
-117.46454,35.657,1.705
-117.42342,35.59235,5.538
-117.42512,35.59411,5.407
-117.55249,35.71622,6.384
-117.69479,35.88239,8.109
-117.84758,36.02616,3.002
-117.43466,35.63005,4.691
-117.72794,35.92086,4.541
-117.43792,35.64216,6.431
-117.45937,35.64993,6.714
-117.68615,35.88488,7.695
-117.48328,35.6666,0.848
-117.67775,35.88201,5.287
-117.56559,35.72205,9.41
-117.49077,35.65307,4.581
-117.6953,35.89374,7.776
-117.84522,36.04902,3.282
-117.68331,35.8862,4.573
-117.84947,36.02691,3.317
-117.52275,35.66484,8.814
-117.52052,35.65408,9.422
-117.52026,35.6541,9.422
-117.47345,35.67082,3.931
-117.67138,35.98159,2.971
-117.46335,35.6572,2.619
-117.45277,35.64028,3.572
-117.70134,35.95462,4.787
-117.70919,35.92065,4.135
-117.40793,35.60324,7.331
-117.69215,35.90633,4.386
-117.48667,35.66738,2.734
-117.70236,35.91211,6.483
-117.52201,35.67146,8.72
-117.72666,35.91304,6.733
-117.85389,36.0234,3.382
-117.85037,36.025,3.417
-117.84775,36.02485,3.942
-117.84824,36.02159,3.734
-117.67183,35.88362,4.296
-117.43475,35.62871,7.429
-117.58448,35.707,7.89
-117.49473,35.6428,5.419
-117.43536,35.60622,5.939
-117.4281,35.63165,5.254
-117.45719,35.67176,5.3
-117.43641,35.63047,4.288
-117.52378,35.69068,7.992
-117.71621,35.8806,4.064
-117.44594,35.64423,6.288
-117.85283,36.0314,3.365
-117.52053,35.65459,9.475
-117.68219,35.88578,4.442
-117.48201,35.66977,0.236
-117.86301,36.02644,3.075
-117.40253,35.60465,6.798
-117.43196,35.60196,5.583
-117.68048,35.93009,3.451
-117.44143,35.62044,6.607
-117.66116,35.82669,5.09
-117.44843,35.65234,5.024
-117.51615,35.68291,8.867
-117.70176,35.89466,6.431
-117.47723,35.65933,7.123
-117.70138,35.89409,6.23
-117.68376,35.88562,3.402
-117.84521,36.02872,3.721
-117.8433,36.02896,3.939
-117.84806,36.05348,3.36
-117.68042,35.97246,2.728
-117.45007,35.64259,5.14
-117.51171,35.69932,6.722
-117.69321,35.94168,4.014
-117.69729,35.92212,4.659
-117.85761,36.02889,3.01
-117.69396,35.9194,3.992
-117.8598,36.02943,2.864
-117.67871,35.89094,4.669
-117.73079,35.91374,3.081
-117.43116,35.60063,5.954
-117.8565,36.05511,1.666
-117.70125,35.89482,6.284
-117.52174,35.65612,9.794
-117.4325,35.63358,4.686
-117.84873,36.02175,3.869
-117.73895,35.9157,5.083
-117.69969,35.86691,4.684
-117.47002,35.67943,5.113
-117.41473,35.58418,4.622
-117.53631,35.65988,8.29
-117.72453,35.89788,5.83
-117.43831,35.60818,4.068
-117.71014,35.93461,5.16
-117.73115,35.89074,6.07
-117.43736,35.60769,4.08
-117.70507,35.8678,5.07
-117.71487,35.89411,6.304
-117.57798,35.70943,6.927
-117.57166,35.7506,4.07
-117.48493,35.67688,1.548
-117.68888,35.87444,4.921
-117.71538,35.92075,4.212
-117.71352,35.91476,6.854
-117.67388,35.90768,3.759
-117.68952,35.88402,7.299
-117.6728,35.90831,3.232
-117.67266,35.90223,3.626
-117.69399,35.92798,4.881
-117.71567,35.89415,6.251
-117.45707,35.63064,3.521
-117.4572,35.63036,3.492
-117.71691,35.91797,4.21
-117.51906,35.67127,9.153
-117.5481,35.69349,9.218
-117.68984,35.88375,7.409
-117.43225,35.63035,4.091
-117.69129,35.91674,4.573
-117.6775,35.88338,4.708
