lonR,latR,depR
-117.51657,35.66816,7.908
-117.52904,35.72216,5.845
-117.58345,35.61434,6.965
-117.52733,35.72009,5.16
-117.49486,35.70174,7.608
-117.50667,35.66796,5.34
-117.59332,35.60073,5.206
-117.52748,35.72108,4.239
-117.58068,35.60905,7.285
-117.59386,35.61607,7.406
-117.48403,35.69175,7.894
-117.49518,35.67758,5.703
-117.62304,35.57428,5.982
-117.59744,35.5726,6.665
-117.50427,35.7089,7.344
-117.51394,35.69511,6.626
-117.59709,35.60013,4.892
-117.5807,35.60826,5.366
-117.48547,35.68305,5.392
-117.59823,35.5997,4.414
-117.49903,35.70617,7.71
-117.4996,35.67678,5.468
-117.4989,35.68415,6.442
-117.5788,35.61851,6.316
-117.50478,35.67976,1.549
-117.69639,35.88011,6.682
-117.62584,35.57272,6.43
-117.48065,35.68415,1.177
-117.59048,35.59868,4.59
-117.52815,35.65695,8.343
-117.51395,35.71882,4.914
-117.52603,35.71738,5.584
-117.46779,35.66999,7.051
-117.60348,35.56728,5.596
-117.53524,35.74472,6.476
-117.52299,35.71871,5.191
-117.52912,35.6613,9.375
-117.52182,35.71997,5.277
-117.59,35.59682,4.759
-117.53362,35.73227,5.036
-117.52394,35.67006,8.002
-117.4908,35.68362,5.97
-117.58999,35.59745,4.548
-117.53595,35.72031,5.568
-117.5904,35.60351,4.33
-117.46874,35.65785,7.905
-117.62332,35.57697,5.786
-117.49983,35.68245,1.356
-117.59757,35.61392,7.82
-117.52852,35.66005,8.909
-117.59557,35.60104,4.668
-117.51512,35.69184,6.504
-117.55638,35.747,4.933
-117.55434,35.74301,4.565
-117.55861,35.74743,4.494
-117.59454,35.62171,7.479
-117.5633,35.74469,3.772
-117.58731,35.60654,5.923
-117.50446,35.67736,5.403
-117.62323,35.57401,5.957
-117.59898,35.57135,6.26
-117.51665,35.72032,5.554
-117.52039,35.71717,3.956
-117.59882,35.57069,6.362
-117.55301,35.74024,4.282
-117.59175,35.5988,4.976
-117.47246,35.66453,7.224
-117.59453,35.60226,5.144
-117.59396,35.60153,5.281
-117.59891,35.57085,6.368
-117.59876,35.5711,6.334
-117.5989,35.57074,6.383
-117.60021,35.5704,6.333
-117.59219,35.60293,4.391
-117.58714,35.5936,4.691
-117.59934,35.57046,6.396
-117.59957,35.57031,6.336
-117.5581,35.74398,4.384
-117.62014,35.57584,6.21
-117.59934,35.5703,6.334
-117.59873,35.57113,6.351
-117.59891,35.57,6.44
-117.52062,35.72025,5.408
-117.58961,35.59736,4.494
-117.58921,35.59701,4.252
-117.60319,35.56761,5.63
-117.49718,35.68094,4.995
-117.55148,35.72586,5.31
-117.62032,35.57525,6.089
-117.6028,35.56784,5.607
-117.59967,35.59893,4.684
